step,step_time
1,9.389779907
2,6.650609858
3,6.63569499
4,6.778086388
5,6.984705604
6,6.639892284
7,6.631714366
8,6.747753747
9,7.052071198
10,6.798566552
11,6.806503855
12,6.923862038
13,7.302139912
14,7.214791659
15,7.180283132
16,7.172212169
17,7.674822766
18,6.98749992
19,6.975024156
20,7.080015453
21,7.428012344
22,7.118896522
23,7.036263805
24,7.154022614
25,7.352906667
26,7.027309783
27,7.023180495
28,7.072561595
29,7.352928559
30,7.017336309
31,7.011737231
32,7.066714161
33,7.334816505
34,7.014345707
35,7.006173506
36,7.07031575
37,7.337441153
38,7.01261037
39,7.006950418
40,7.054407756
41,7.351378492
42,7.004060374
43,7.020898711
44,7.058530751
45,7.346200058
46,6.994722782
47,7.014557877
48,7.068894342
49,7.344764069
50,10.08220582
51,9.755767701
52,7.068569999
53,7.346138288
54,7.016381763
55,7.013312814
56,7.073814329
57,7.339128942
58,7.001670427
59,7.013834948
60,7.055352373
61,7.319947955
62,7.011276928
63,7.000164693
64,7.060372679
65,7.340945029
66,7.011410298
67,7.009209075
68,7.066142524
69,7.338896831
70,7.003252338
71,7.008019532
72,7.062136302
73,7.345515118
74,6.99845781
75,7.005847058
76,7.067731791
77,7.333232396
78,7.009568618
79,7.007422416
80,7.043381249
81,7.337412395
82,7.011180017
83,6.999990854
84,7.054503144
85,7.348923
86,7.082135659
87,7.020575202
88,7.061422914
89,7.341214071
90,6.992100024
91,7.015757088
92,7.05335047
93,7.333680836
94,7.022575622
95,7.01110908
96,15.26436388
97,17.50191528
98,17.77196616
99,17.46228689
100,26.42802278
101,4.255556284
102,3.227849566
103,3.403601779
104,3.635599858
105,3.40626703
106,3.385804346
107,3.406808549
108,3.55427193
109,3.224346015
110,3.227786663
111,3.485906664
112,3.396977923
113,3.225872359
114,3.360582218
115,3.226208338
116,3.391109176
117,3.225554233
118,3.226943541
119,3.235006506
120,3.392986569
121,3.225453097
122,3.226651666
123,3.229387472
124,3.385546511
125,3.223877248
126,3.225669483
127,3.229814354
128,3.395402082
129,3.223453803
130,3.228146276
131,3.228490491
132,3.388922401
133,3.228730877
134,3.226230618
135,3.230457228
136,3.39061652
137,3.227766921
138,3.229074632
139,3.228035792
140,3.391717951
141,3.227597975
142,3.228193427
143,3.228738631
144,3.391768229
145,3.225496054
146,3.228319724
147,3.227433379
148,3.394740956
149,3.225211048
150,4.433144694
151,4.124851102
152,3.392429142
153,3.228160687
154,3.229705587
155,3.229042694
156,3.39075929
157,3.230477971
158,3.229140854
159,3.230684532
160,3.391256894
161,3.225983002
162,3.231978926
163,3.228980874
164,3.393764877
165,3.228218504
166,3.231825005
167,3.228770042
168,3.390953606
169,3.229515365
170,3.228210678
171,3.230693406
172,3.392038126
173,3.231686287
174,3.232571732
175,3.230207905
176,3.395292105
177,3.232037288
178,3.231565995
179,3.230120834
180,3.393162026
181,3.231894972
182,3.229731866
183,3.229525837
184,3.392472453
185,3.231826229
186,3.232675062
187,3.230542634
188,3.395117009
189,3.231271194
190,3.232189021
191,3.230833998
192,3.396406105
193,3.23186814
194,3.231576856
195,3.234802921
196,5.530409148
197,6.271811561
198,6.274835274
199,6.273034999
200,23.29286153
201,4.127723587
202,3.2331145
203,3.230957134
204,3.392596426
205,3.229054161
206,3.232893552
207,3.230208867
208,3.394933158
209,3.234622961
210,3.233191199
211,3.23109936
212,3.395223019
213,3.233294532
214,3.23282768
215,3.231734204
216,3.394303513
217,3.235518069
218,3.233782298
219,3.234078332
220,3.391845636
221,3.229906957
222,3.23346309
223,3.23333331
224,3.395769631
225,3.233237103
226,3.231879745
