step,step_time
1,7.034001709
2,5.016618256
3,4.986414608
4,5.132072518
5,5.243810253
6,5.005841074
7,5.00509365
8,5.038561242
9,5.356660895
10,5.161805518
11,5.167978238
12,5.195684322
13,5.4588542
14,5.312958817
15,5.483422285
16,5.429326456
17,5.638805112
18,5.368838362
19,5.244683426
20,5.396363152
21,5.503789245
22,5.276587043
23,5.27370648
24,5.321086331
25,5.524228502
26,5.295716478
27,5.282939905
28,5.321846277
29,5.516977392
30,5.271109348
31,5.272058781
32,5.31769352
33,5.519374048
34,5.382640168
35,5.276443956
36,5.300130789
37,5.496325889
38,5.261097184
39,5.280531488
40,5.300505996
41,5.508569008
42,5.262111332
43,5.269403943
44,5.316357122
45,5.50890685
46,5.254244433
47,5.278624837
48,5.297113345
49,5.495053101
50,7.55620557
51,7.26336396
52,5.30718289
53,5.509925842
54,5.261383276
55,5.278065958
56,5.311858077
57,5.51120963
58,5.264339845
59,5.276846294
60,5.307515831
61,5.496210602
62,5.252471059
63,5.271279877
64,5.301317869
65,5.50597222
66,5.267496071
67,5.258485242
68,5.320759067
69,5.518446979
70,5.251242216
71,5.256320512
72,5.284023965
73,5.52386621
74,5.260728428
75,5.271039568
76,5.301027965
77,5.499356316
78,5.259176321
79,5.266062087
80,5.313845356
81,5.516328739
82,5.274399978
83,5.259140551
84,5.31309612
85,5.502811048
86,5.279655948
87,5.258072318
88,5.302341557
89,5.508572198
90,5.253485971
91,5.256585127
92,5.302463131
93,5.515609617
94,5.273425937
95,5.254970519
96,12.20892477
97,13.68025825
98,13.7891314
99,13.59775143
100,23.89951873
101,3.941320931
102,3.138229259
103,3.074343575
104,3.055962955
105,2.937098465
106,2.945405002
107,2.940664794
108,3.072121444
109,2.947670169
110,2.926452355
111,2.942169196
112,3.061937899
113,2.946440133
114,2.927789529
115,2.927493065
116,3.070695171
117,2.939821473
118,2.924288727
119,2.936238844
120,3.070023084
121,2.946049787
122,2.943010647
123,2.929851751
124,3.057924708
125,2.947213203
126,3.100482397
127,2.922901426
128,3.058062504
129,2.940449751
130,2.938802338
131,2.934907756
132,3.064315552
133,2.945345236
134,2.926461248
135,2.922037271
136,3.077194933
137,2.949321922
138,2.933612815
139,2.929407675
140,3.07205636
141,2.938641506
142,2.925932525
143,2.917325242
144,3.060360022
145,2.939632573
146,2.929140841
147,2.919553054
148,3.058650831
149,2.946365145
150,4.034374693
151,3.738002427
152,3.061136431
153,2.925875505
154,2.931551968
155,2.94535763
156,3.07125904
157,2.942169613
158,2.948018118
159,3.155734205
160,3.068666974
161,2.943906086
162,2.916167356
163,2.940745246
164,3.065794858
165,2.939220313
166,2.928833027
167,2.922243117
168,3.074794283
169,2.947885911
170,2.923386446
171,2.928851683
172,3.07378841
173,2.958242888
174,2.935541415
175,2.928656106
176,3.067572472
177,2.954842019
178,2.931683483
179,2.931597438
180,3.0650309
181,2.951860137
182,2.926416769
183,2.935596919
184,3.054247752
185,2.957797816
186,3.071609772
187,2.942623338
188,3.063038384
189,2.943330574
190,2.928939526
191,2.924477035
192,3.074033753
193,2.946199115
194,2.929003068
195,2.95139932
196,4.997491675
197,5.673652385
198,5.669102465
199,5.660149883
200,22.00895508
201,3.567248123
202,2.803274032
203,2.801526647
204,2.919546126
205,2.806882101
206,2.802562338
207,2.955194786
208,2.923852896
209,2.80926802
210,2.802053945
211,2.797316324
212,2.917733415
213,2.805749553
214,2.806974961
215,2.804059339
216,2.920566457
217,2.809976067
218,2.807083782
219,2.803608219
220,2.920645303
221,2.812818279
222,2.809318757
223,2.80862692
224,2.91957236
225,2.805545006
226,2.809551126
227,2.802173372
228,2.918689284
229,2.813478534
230,2.806097774
231,2.81143228
232,2.914781724
233,2.809565685
234,2.800307578
235,2.799694695
236,2.930325619
237,2.806462377
238,2.803379683
239,2.805088263
240,2.926540037
241,2.807419205
242,2.809142012
243,2.806306418
244,2.910752083
245,2.945262139
246,2.807810504
247,2.80259041
248,2.922233944
249,2.804736445
