step,avg_time
1,1.110514373
2,0.916343874
3,0.8513130703
4,0.8410912375
5,0.8224858142
6,0.8058226482
7,0.7937961553
8,0.7863744311
9,0.7825338186
10,0.7777237029
11,0.774221573
12,0.7870561651
13,0.7857556828
14,0.7830725146
15,0.7808460913
16,0.7795380678
17,0.7794035825
18,0.7779353034
19,0.7766509421
20,0.7760293138
21,0.7762184555
22,0.7911414015
23,0.7896013189
24,0.7885882085
25,0.7882974172
26,0.7870581378
27,0.7859209542
28,0.7852030039
29,0.7968045128
30,0.7954559289
31,0.7941774656
32,0.7933217732
33,0.7929537535
34,0.7918695903
35,0.7908391442
36,0.790130508
37,0.7898860258
38,0.7889800564
39,0.7881255218
40,0.7875633568
41,0.7874126861
42,0.7866495567
43,0.7859299307
44,0.7854612452
45,0.7936124955
46,0.7927838399
47,0.7919838529
48,0.7914310094
49,0.7912206991
50,0.7905090348
51,0.7898205695
52,0.7893441277
53,0.789180402
54,0.7885468262
55,0.7879475867
56,0.7875434454
57,0.7874360754
58,0.7868820541
59,0.7863475503
60,0.7860066829
61,0.7859196271
62,0.7854408059
63,0.7849688432
64,0.7846740617
65,0.7846138264
66,0.7841756268
67,0.7837500193
68,0.7834914187
69,0.783460452
70,0.7830700518
71,0.7826959395
72,0.7824600478
73,0.782441801
74,0.7820868387
75,0.7817362106
76,0.7815268731
77,0.7815217801
78,0.7811991906
79,0.780885983
80,0.7807035871
81,0.7807088081
82,0.7804134695
83,0.7801292408
84,0.7799642019
85,0.7799809229
86,0.7797057979
87,0.7794349426
88,0.7792908295
89,0.7793192519
90,0.7790687795
91,0.778824638
92,0.7786900441
93,0.7787278104
94,0.7784918217
95,0.7782633965
96,0.7907971417
97,0.8041082317
98,0.8179895412
99,0.8315224589
100,0.8809934982
101,0.8782954332
102,0.8743314105
103,0.8704454966
104,0.8668060722
105,0.8630472835
106,0.8593795321
107,0.8557813806
108,0.8524115995
109,0.8489194355
110,0.8455115542
111,0.8421690112
112,0.83904243
113,0.8357998091
114,0.8326393742
115,0.8295237965
116,0.8266302424
117,0.8236025038
118,0.8206438261
119,0.8177428652
120,0.8150285443
121,0.8121980815
122,0.8094313403
123,0.8067145972
124,0.804180403
125,0.8015307475
126,0.7989376479
127,0.7963874853
128,0.794013782
129,0.7915258397
130,0.7890904966
131,0.786696384
132,0.7844685746
133,0.7821273731
134,0.7798362822
135,0.7775813614
136,0.7754870931
137,0.7732847413
138,0.7711256327
139,0.7689999123
140,0.7670263578
141,0.7649444463
142,0.7629043594
143,0.760900892
144,0.7590414758
145,0.7570757742
146,0.7551474445
147,0.753258704
148,0.751504715
149,0.7496426038
150,0.7478155299
151,0.746016893
152,0.7443556318
153,0.7425875459
154,0.7408539043
155,0.7391429801
156,0.737567557
157,0.7358913343
158,0.7342435163
159,0.7326205992
160,0.7311265126
161,0.7295371441
162,0.7279716546
163,0.7264272649
164,0.7250080747
165,0.7234912368
166,0.7220016584
167,0.7205341922
168,0.7191908929
169,0.717748986
170,0.7163342352
171,0.7149347233
172,0.7136546532
173,0.7122773826
174,0.7109261943
175,0.7095915426
176,0.7083708431
177,0.7070560833
178,0.7057664327
179,0.7044903642
180,0.7033266814
181,0.702066337
182,0.7008302211
183,0.6996106636
184,0.6984981254
185,0.697296895
186,0.6961177157
187,0.6949517544
188,0.6938922802
189,0.6927425832
190,0.691614534
191,0.6904993293
192,0.6894847202
193,0.6883815731
194,0.6873005652
195,0.6862295263
196,0.6868049915
197,0.6879781305
198,0.6891395362
199,0.6902885602
200,0.7070062099
201,0.7065378197
202,0.7054076236
203,0.704293317
204,0.7032733118
205,0.7021709702
206,0.7010883472
207,0.7000159927
208,0.6990391581
209,0.6979768642
210,0.6969338546
211,0.6959022372
212,0.694962067
213,0.6939426197
214,0.6929390462
215,0.6919524338
216,0.6910478891
217,0.6900646863
218,0.6890981207
219,0.6881408487
220,0.6872828912
221,0.686335283
222,0.685402663
223,0.6844794952
224,0.6836425621
225,0.6827275703
226,0.6818274923
227,0.6809356518
228,0.6801274291
229,0.67924464
230,0.6783745907
231,0.6775133011
232,0.6767364989
233,0.675884083
234,0.6750458189
235,0.674213651
236,0.673466992
237,0.6726427714
238,0.6718320966
239,0.6710295955
240,0.6703042681
241,0.6695059088
242,0.6687207045
243,0.6679441329
244,0.6672447422
245,0.6664733787
246,0.6657177169
247,0.6649667611
248,0.6642911186
249,0.6635448103
250,0.6628118383
251,0.6620852195
252,0.6614318383
