step,step_time
1,2.084095617
2,1.421725526
3,1.421657776
4,1.545268551
5,1.447248057
6,1.423620325
7,1.427375433
8,1.456755039
9,1.453522189
10,1.764645229
11,1.630018568
12,1.667288116
13,1.477368414
14,1.466065072
15,1.471404721
16,2.489469646
17,2.044592257
18,1.791366063
19,1.479999943
20,1.879224372
21,1.831997769
22,1.793711997
23,2.215077883
24,1.986199047
25,1.868585856
26,1.483092131
27,1.483203278
28,1.517611646
29,1.822560438
30,1.482509965
31,1.482445009
32,1.51690532
33,1.500323194
34,1.843540724
35,1.481605225
36,1.516799194
37,1.498916191
38,1.480821481
39,1.481287093
40,1.516088274
41,1.498719445
42,1.480427474
43,1.480233621
44,1.515265688
45,1.862339277
46,1.479877604
47,1.479941858
48,1.515254837
49,1.498025947
50,2.126155746
51,2.035614887
52,1.514077866
53,1.497403546
54,1.47949719
55,1.479765438
56,1.514432301
57,1.497830643
58,1.479494602
59,1.479499762
60,1.514026888
61,1.497722299
62,1.4798861
63,1.479466779
64,1.51454006
65,1.49756767
66,1.479875529
67,1.479422955
68,1.514378358
69,1.497852332
70,1.47971065
71,1.479445708
72,1.513858963
73,1.497537693
74,1.479530642
75,1.478808366
76,1.514101762
77,1.497151486
78,1.479293243
79,1.479318903
80,1.514110901
81,1.496922275
82,1.478665005
83,1.479694133
84,1.51410828
85,1.497722006
86,1.479182114
87,1.479297186
88,1.514238401
89,1.497078764
90,1.478950126
91,1.479280083
92,1.514164979
93,1.497040371
94,1.479235197
95,1.478820476
96,4.265887793
97,4.549415995
98,4.395359891
99,4.400159842
100,15.73058918
101,1.223786308
102,0.944662241
103,1.272822436
104,0.977888531
105,0.938709292
106,0.943815243
107,1.379932005
108,0.976505768
109,0.939057895
110,1.316975443
111,1.309720447
112,1.342398987
113,0.939330129
114,0.944755779
115,1.275834381
116,0.976159443
117,0.939514745
118,0.944825063
119,0.94799426
120,0.975920202
121,1.311696387
122,0.946387633
123,0.946834167
124,0.978326604
125,0.939404463
126,0.944298264
127,0.943760324
128,0.975985738
129,1.294182195
130,0.944812779
131,0.947332531
132,0.975929659
133,0.94126531
134,0.94455408
135,0.944303354
136,0.975987101
137,0.939023365
138,0.944495575
139,0.944390483
140,0.979234379
141,0.940172578
142,0.94442029
143,0.944401103
144,1.289391503
145,0.938379962
146,0.944551253
147,0.944586983
148,0.975634519
149,0.939548851
150,1.320614259
151,1.222598416
152,0.975461094
153,0.939317013
154,0.944850472
155,1.26642505
156,0.976113164
157,0.939529624
158,0.944870621
159,0.945225496
160,0.976585357
161,0.939502161
162,0.945694173
163,1.320742516
164,0.976650173
165,1.25537216
166,0.944003835
167,0.944760007
168,0.975984215
169,0.939257969
170,0.944681936
171,0.944549971
172,0.975730736
173,0.939126663
174,0.94463263
175,0.944641618
176,1.315280681
177,0.939506859
178,0.944636166
179,0.94463802
180,0.976128967
181,0.940400317
182,0.94470505
183,0.944768212
184,0.975614533
185,0.938970061
186,0.944434937
187,0.944562224
188,0.975431048
189,1.261180459
190,0.943984616
191,0.94401194
192,0.975119275
193,0.938679749
194,0.944274356
195,0.944263436
196,1.573595447
197,1.828423733
198,1.828315875
199,1.82978763
200,13.37304613
201,1.590321527
202,0.944090631
