step,step_time
1,3.944216205
2,2.690539397
3,2.687727202
4,2.77300976
5,2.826015175
6,2.692953401
7,2.692633863
8,2.882058803
9,2.844656658
10,3.19142211
11,3.101248352
12,2.767211355
13,2.901496867
14,3.158373904
15,3.165955835
16,2.812793257
17,2.939472202
18,2.81693238
19,3.134136638
20,3.148117076
21,2.951316115
22,2.825504186
23,2.827668727
24,2.83317589
25,2.95472802
26,2.828119577
27,2.828653962
28,2.833409499
29,2.953818673
30,2.826890718
31,2.825700554
32,2.831584936
33,2.952691551
34,2.824839717
35,2.825292814
36,2.829833425
37,2.951200815
38,2.823038389
39,2.82300775
40,2.828457051
41,2.948802511
42,2.821254265
43,2.821307979
44,2.82778515
45,2.948814965
46,2.820253788
47,2.820217478
48,2.826944111
49,2.951041376
50,4.083598853
51,3.979604468
52,2.825575652
53,2.947628929
54,2.819184127
55,2.819870476
56,2.824909522
57,2.948241895
58,2.819102459
59,2.819348876
60,2.824715476
61,2.947000162
62,2.818936527
63,2.819774821
64,2.827233952
65,2.946632961
66,2.818335474
67,2.819474069
68,2.824440444
69,2.947072502
70,2.817926272
71,2.818803775
72,2.824448284
73,2.947557405
74,2.818497544
75,2.818932776
76,2.824068099
77,2.947148965
78,2.818586185
79,2.819334365
80,2.824730501
81,2.946802584
82,2.818509266
83,2.818595373
84,2.824565182
85,2.94657308
86,2.819674643
87,2.817886951
88,2.824622873
89,2.94689366
90,2.817892231
91,2.81844373
92,2.824240722
93,2.946561698
94,2.818509667
95,2.818600062
96,7.963970068
97,8.435607852
98,8.430101301
99,8.439906755
100,17.24616859
101,2.069839282
102,1.174626045
103,1.168232737
104,1.496125508
105,1.451431266
106,1.169666584
107,1.237663763
108,1.249671526
109,1.169164197
110,1.168153641
111,1.171193655
112,1.211937328
113,1.168878344
114,1.171977923
115,1.168528015
116,1.212037502
117,1.169810879
118,1.168584074
119,1.170919615
120,1.21394813
121,1.173440364
122,1.170275458
123,1.16913963
124,1.212329988
125,1.169885603
126,1.170073758
127,1.170249979
128,1.212411877
129,1.17185758
130,1.16940845
131,1.1711034
132,1.21349389
133,1.16963591
134,1.169661559
135,1.16914534
136,1.213042367
137,1.170021656
138,1.169461622
139,1.169494236
140,1.213659311
141,1.170345784
142,1.175220289
143,1.16970843
144,1.213403335
145,1.170893795
146,1.170098415
147,1.170645544
148,1.213925657
149,1.170565649
150,1.613921914
151,1.507755829
152,1.214271306
153,1.170905978
154,1.170547254
155,1.170542775
156,1.214225126
157,1.170873836
158,1.170334662
159,1.170455175
160,1.2138759
161,1.170755586
162,1.17057682
163,1.171102929
164,1.213900943
165,1.171256986
166,1.171037943
