step,avg_time
1,1.675792101
2,1.377063274
3,1.27694967
4,1.262049416
5,1.227270471
6,1.202491153
7,1.184812257
8,1.200855254
9,1.214093908
10,1.225408231
11,1.23096156
12,1.224278122
13,1.216525791
14,1.209529482
15,1.225939397
16,1.279900711
17,1.29331526
18,1.284203418
19,1.312103566
20,1.322610598
21,1.314005908
22,1.322326652
23,1.31411692
24,1.322801353
25,1.329806636
26,1.322247522
27,1.315235834
28,1.310342686
29,1.304572778
30,1.298848113
31,1.293487497
32,1.289855152
33,1.285392923
34,1.28088533
35,1.276629944
36,1.273847394
37,1.27028549
38,1.266623359
39,1.263152169
40,1.260974975
41,1.258040859
42,1.255003934
43,1.252185932
44,1.250449123
45,1.248004747
46,1.245473676
47,1.243042606
48,1.241637084
49,1.239566593
50,1.237373502
51,1.23526783
52,1.234116304
53,1.232338931
54,1.23044546
55,1.228615996
56,1.227676276
57,1.226157171
58,1.224488561
59,1.222886728
60,1.222092514
61,1.220760235
62,1.219298754
63,1.217897686
64,1.2172261
65,1.216025497
66,1.214717952
67,1.213452019
68,1.212922433
69,1.211859231
70,1.210692416
71,1.209551392
72,1.209077514
73,1.208122834
74,1.207068854
75,1.20603441
76,1.205624902
77,1.204764685
78,1.203798218
79,1.202857834
80,1.202508053
81,1.201727914
82,1.200872514
83,1.200040808
84,1.199740068
85,1.199029844
86,1.198220086
87,1.197436596
88,1.197182823
89,1.196531152
90,1.195813444
91,1.1951174
92,1.194909346
93,1.194305042
94,1.193616848
95,1.192945454
96,1.216466912
97,1.241502507
98,1.26457666
99,1.287195769
100,1.44076247
101,1.436402831
102,1.430765876
103,1.422162338
104,1.417090074
105,1.408778491
106,1.400648181
107,1.392627147
108,1.384942244
109,1.37719419
110,1.36959984
111,1.362145588
112,1.357783743
113,1.350551301
114,1.343458717
115,1.336527714
116,1.329855465
117,1.323107456
118,1.316490429
119,1.309984435
120,1.303746997
121,1.300253406
122,1.294036796
123,1.287921754
124,1.284915283
125,1.278962344
126,1.27313768
127,1.267394812
128,1.261877878
129,1.258713841
130,1.253203202
131,1.247776284
132,1.242594959
133,1.237316409
134,1.232130168
135,1.227017873
136,1.222119028
137,1.217153737
138,1.212261052
139,1.207442618
140,1.20282574
141,1.198135137
142,1.193523591
143,1.188970699
144,1.184613672
145,1.180179589
146,1.175814187
147,1.171513086
148,1.167412129
149,1.163210794
150,1.159077572
151,1.154998393
152,1.151097211
153,1.147122117
154,1.143200631
155,1.139323427
156,1.135621806
157,1.131831956
158,1.12810667
159,1.12441992
160,1.120901548
161,1.117301368
162,1.113755191
163,1.110247963
164,1.106898367
165,1.103477746
166,1.100095334
167,1.09675125
168,1.093562507
169,1.090290384
170,1.087064749
171,1.083879014
172,1.080838787
173,1.077716579
174,1.074637124
175,1.071594864
176,1.068694409
177,1.065710141
178,1.062768359
179,1.059862255
180,1.057089645
181,1.054235615
182,1.051421357
183,1.048638802
184,1.045991321
185,1.043262101
186,1.040565277
187,1.037897443
188,1.035361397
189,1.032745577
190,1.030163796
191,1.027608406
192,1.025176071
193,1.022664135
194,1.020188147
195,1.017736497
196,1.017182458
197,1.017311893
198,1.017442971
199,1.017569261
200,1.083366113
201,1.08143753
202,1.078770953
203,1.076128089
204,1.073602964
205,1.071003498
206,1.068435152
207,1.065891914
208,1.063464456
209,1.060965052
210,1.058496443
211,1.056049476
212,1.053714551
213,1.05130564
214,1.048924265
215,1.046565361
216,1.044316173
217,1.041995956
218,1.039702808
219,1.037433653
220,1.035268597
221,1.033030543
222,1.03081908
223,1.02862797
224,1.026542738
225,1.02438538
226,1.022251876
227,1.020135987
228,1.018124386
229,1.016039331
230,1.013977698
231,1.011932352
232,1.009989516
233,1.007974912
234,1.005983746
235,1.004010466
236,1.00213242
237,1.000185102
238,0.9982591054
239,0.996350593
240,0.9945377964
241,0.9926585313
242,0.9907974404
243,0.9889514368
244,0.9871958788
245,0.9853716564
246,0.9835684309
247,0.9817789828
248,0.9800811287
249,0.9783181483
250,0.9765738416
251,0.9748429586
252,0.9731992195
253,0.9714904762
254,0.9697995775
255,0.9681219366
256,0.9665303908
257,0.9648739103
258,0.9632349706
259,0.961607566
260,0.9600676174
261,0.958464227
262,0.9568750904
263,0.9552969385
264,0.9538028654
265,0.952244034
266,0.9507019519
267,0.9491719881
268,0.9477224181
269,0.946208988
270,0.9447125605
271,0.9432256095
272,0.9418194899
273,0.9403495036
274,0.9388982332
275,0.9374552993
276,0.9360908553
277,0.9346622405
278,0.9332504743
279,0.9318467527
280,0.9305209121
281,0.9291324257
