0, Original, Efficiency, 0.3153674700, 0
0, Original, UsedEfficiency, 0.3153674700, 0
0, Knapsack, Weight, 0.0000000000, 0
0, Knapsack, Weight, 0.0000000000, 1
0, Knapsack, Weight, 0.0000000000, 2
0, Knapsack, Weight, 0.0000000000, 3
0, Knapsack, Weight, 0.0000000000, 4
0, Knapsack, Weight, 0.0000000000, 5
0, Knapsack, Weight, 0.0000000000, 6
0, Knapsack, Weight, 0.0000000000, 7
0, Knapsack, Weight, 0.0000000000, 8
0, Knapsack, Weight, 0.0000000000, 9
0, Knapsack, Weight, 0.0000000000, 10
0, Knapsack, Weight, 0.0000000000, 11
0, Knapsack, Weight, 0.0000000000, 12
0, Knapsack, Weight, 0.0000000000, 13
0, Knapsack, Weight, 0.0000000000, 14
0, Knapsack, Weight, 0.0000000000, 15
0, Knapsack, Weight, 0.0000000000, 16
0, Knapsack, Weight, 0.0000000000, 17
0, Knapsack, Weight, 0.0000000000, 18
0, Knapsack, Weight, 0.0000000000, 19
0, Knapsack, Weight, 0.0000000000, 20
0, Knapsack, Weight, 0.0000000000, 21
0, Knapsack, Weight, 0.0000000000, 22
0, Knapsack, Weight, 0.0000000000, 23
0, Knapsack, Efficiency, 0.9991066747
0, Knapsack, UsedEfficiency, 0.9991066747, 0
0, Knapsack, Time, 0.0045429410, 0
0, Karmarkar-Karp, Weight, 0.0000000000, 1212778386
0, Karmarkar-Karp, Weight, 0.0000000000, 1212778386
0, Karmarkar-Karp, Weight, 0.0000000000, 1212778386
0, Karmarkar-Karp, Weight, 0.0000000000, 1213019380
0, Karmarkar-Karp, Weight, 0.0000000000, 1213019380
0, Karmarkar-Karp, Weight, 0.0000000000, 1213019380
0, Karmarkar-Karp, Weight, 0.0000000000, 1226877440
0, Karmarkar-Karp, Weight, 0.0000000000, 1226877440
0, Karmarkar-Karp, Weight, 0.0000000000, 1226877440
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959360
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959360
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959360
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959729
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959729
0, Karmarkar-Karp, Weight, 0.0000000000, 1226959729
0, Karmarkar-Karp, Weight, 0.0000000000, 1227629023
0, Karmarkar-Karp, Weight, 0.0000000000, 1227629023
0, Karmarkar-Karp, Weight, 0.0000000000, 1227629023
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Weight, 0.0000000000, 1228950093
0, Karmarkar-Karp, Efficiency, 0.9991066747
0, Karmarkar-Karp, UsedEfficiency, 0.9991066747, 0
