0, Original, Efficiency, 0.3260715712, 0
0, Original, UsedEfficiency, 0.3260715712, 0
0, Knapsack, Weight, 0.0000000000, 0
0, Knapsack, Weight, 0.0000000000, 1
0, Knapsack, Weight, 0.0000000000, 2
0, Knapsack, Weight, 0.0000000000, 3
0, Knapsack, Weight, 0.0000000000, 4
0, Knapsack, Weight, 0.0000000000, 5
0, Knapsack, Weight, 0.0000000000, 6
0, Knapsack, Weight, 0.0000000000, 7
0, Knapsack, Weight, 0.0000000000, 8
0, Knapsack, Weight, 0.0000000000, 9
0, Knapsack, Weight, 0.0000000000, 10
0, Knapsack, Weight, 0.0000000000, 11
0, Knapsack, Weight, 0.0000000000, 12
0, Knapsack, Weight, 0.0000000000, 13
0, Knapsack, Weight, 0.0000000000, 14
0, Knapsack, Weight, 0.0000000000, 15
0, Knapsack, Efficiency, 0.9479868789
0, Knapsack, UsedEfficiency, 0.9479868789, 0
0, Knapsack, Time, 0.0498324420, 0
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2126112759
0, Karmarkar-Karp, Weight, 0.0000000000, 2127335414
0, Karmarkar-Karp, Weight, 0.0000000000, 2127508342
0, Karmarkar-Karp, Weight, 0.0000000000, -2034610447
0, Karmarkar-Karp, Weight, 0.0000000000, -2018964748
0, Karmarkar-Karp, Weight, 0.0000000000, -2018964748
0, Karmarkar-Karp, Weight, 0.0000000000, -2018964748
0, Karmarkar-Karp, Weight, 0.0000000000, -2005390272
0, Karmarkar-Karp, Weight, 0.0000000000, -2005390272
0, Karmarkar-Karp, Weight, 0.0000000000, -2005390272
0, Karmarkar-Karp, Weight, 0.0000000000, -1967955410
0, Karmarkar-Karp, Efficiency, 0.9479868789
0, Karmarkar-Karp, UsedEfficiency, 0.9479868789, 0
0, Karmarkar-Karp, Time, 0.0473487080, 0
0, SFC, Efficiency, 0.7353255776
0, SFC, UsedEfficiency, 0.7353255776, 0
0, SFC, Time, 0.0049622540, 0
0, HilbertSFC, Weight, 2059615089.0000000000, 0
0, HilbertSFC, Weight, 2123394743.0000000000, 1
0, HilbertSFC, Weight, 2428387299.0000000000, 2
0, HilbertSFC, Weight, 1866689928.0000000000, 3
0, HilbertSFC, Weight, 2495042336.0000000000, 4
0, HilbertSFC, Weight, 2000000002.0000000000, 5
0, HilbertSFC, Weight, 1866689928.0000000000, 6
0, HilbertSFC, Weight, 1866689928.0000000000, 7
0, HilbertSFC, Weight, 3000000003.0000000000, 8
0, HilbertSFC, Weight, 2163283230.0000000000, 9
0, HilbertSFC, Weight, 1648120514.0000000000, 10
0, HilbertSFC, Weight, 2067017678.0000000000, 11
0, HilbertSFC, Weight, 2741208984.0000000000, 12
