0, Original, Efficiency, 0.5171832272, 0
0, Original, Weight, 359098211.0000000000, 0
0, Original, Weight, 1041655492.0000000000, 1
0, Original, Weight, 1035030677.0000000000, 2
0, Original, Weight, 1034099864.0000000000, 3
0, Original, Weight, 616044439.0000000000, 4
0, Original, Weight, 596162241.0000000000, 5
0, Original, Weight, 599240223.0000000000, 6
0, Original, Weight, 613805892.0000000000, 7
0, Original, Weight, 568013767.0000000000, 8
0, Original, Weight, 551107581.0000000000, 9
0, Original, Weight, 572350016.0000000000, 10
0, Original, Weight, 565119452.0000000000, 11
0, Original, Weight, 463712873.0000000000, 12
0, Original, Weight, 334717699.0000000000, 13
0, Original, Weight, 377334599.0000000000, 14
0, Original, Weight, 391602917.0000000000, 15
0, Original, Weight, 640776080.0000000000, 16
0, Original, Weight, 642176319.0000000000, 17
0, Original, Weight, 385907490.0000000000, 18
0, Original, Weight, 641245757.0000000000, 19
0, Original, Weight, 358464589.0000000000, 20
0, Original, Weight, 358098137.0000000000, 21
0, Original, Weight, 357796436.0000000000, 22
0, Original, Weight, 360757545.0000000000, 23
0, Original, Weight, 632264135.0000000000, 24
0, Original, Weight, 669687591.0000000000, 25
0, Original, Weight, 665474755.0000000000, 26
0, Original, Weight, 665590666.0000000000, 27
0, Original, Weight, 661308007.0000000000, 28
0, Original, Weight, 672081809.0000000000, 29
0, Original, Weight, 671834932.0000000000, 30
0, Original, Weight, 671933959.0000000000, 31
0, Original, Weight, 387407286.0000000000, 32
0, Original, Weight, 420901117.0000000000, 33
0, Original, Weight, 434595831.0000000000, 34
0, Original, Weight, 440557543.0000000000, 35
0, Original, Weight, 456048020.0000000000, 36
0, Original, Weight, 430698761.0000000000, 37
0, Original, Weight, 369118955.0000000000, 38
0, Original, Weight, 496231391.0000000000, 39
0, Original, Weight, 491856553.0000000000, 40
0, Original, Weight, 487122426.0000000000, 41
0, Original, Weight, 408995539.0000000000, 42
0, Original, Weight, 429439655.0000000000, 43
0, Original, Weight, 459561930.0000000000, 44
0, Original, Weight, 451830995.0000000000, 45
0, Original, Weight, 462043160.0000000000, 46
0, Original, Weight, 457980641.0000000000, 47
0, Original, UsedEfficiency, 0.5171832272, 0
0, Knapsack, Weight, 1000000001.0000000000, 0
0, Knapsack, Weight, 998133620.0000000000, 1
0, Knapsack, Weight, 997018383.0000000000, 2
0, Knapsack, Weight, 637594361.0000000000, 3
0, Knapsack, Weight, 637581050.0000000000, 4
0, Knapsack, Weight, 637564202.0000000000, 5
0, Knapsack, Weight, 635284790.0000000000, 6
0, Knapsack, Weight, 631215760.0000000000, 7
0, Knapsack, Weight, 631190947.0000000000, 8
0, Knapsack, Weight, 626713482.0000000000, 9
0, Knapsack, Weight, 607934805.0000000000, 10
0, Knapsack, Weight, 606850769.0000000000, 11
0, Knapsack, Weight, 606615257.0000000000, 12
0, Knapsack, Weight, 598060201.0000000000, 13
0, Knapsack, Weight, 472311993.0000000000, 14
0, Knapsack, Weight, 472309097.0000000000, 15
0, Knapsack, Weight, 472306342.0000000000, 16
0, Knapsack, Weight, 472306235.0000000000, 17
0, Knapsack, Weight, 472252003.0000000000, 18
0, Knapsack, Weight, 472247423.0000000000, 19
0, Knapsack, Weight, 472243212.0000000000, 20
0, Knapsack, Weight, 472130582.0000000000, 21
0, Knapsack, Weight, 472124142.0000000000, 22
0, Knapsack, Weight, 472004689.0000000000, 23
0, Knapsack, Weight, 471772300.0000000000, 24
0, Knapsack, Weight, 471375175.0000000000, 25
0, Knapsack, Weight, 471265455.0000000000, 26
0, Knapsack, Weight, 471225077.0000000000, 27
0, Knapsack, Weight, 470887666.0000000000, 28
0, Knapsack, Weight, 470770525.0000000000, 29
0, Knapsack, Weight, 470639329.0000000000, 30
0, Knapsack, Weight, 470519181.0000000000, 31
0, Knapsack, Weight, 470518252.0000000000, 32
0, Knapsack, Weight, 470287759.0000000000, 33
0, Knapsack, Weight, 470284243.0000000000, 34
0, Knapsack, Weight, 470280568.0000000000, 35
0, Knapsack, Weight, 469966887.0000000000, 36
0, Knapsack, Weight, 469951895.0000000000, 37
0, Knapsack, Weight, 469936639.0000000000, 38
0, Knapsack, Weight, 469781707.0000000000, 39
0, Knapsack, Weight, 469761167.0000000000, 40
0, Knapsack, Weight, 469679729.0000000000, 41
0, Knapsack, Weight, 469518557.0000000000, 42
0, Knapsack, Weight, 469469102.0000000000, 43
0, Knapsack, Weight, 469464380.0000000000, 44
0, Knapsack, Weight, 469373699.0000000000, 45
0, Knapsack, Weight, 469192843.0000000000, 46
0, Knapsack, Weight, 468968472.0000000000, 47
0, Knapsack, Efficiency, 0.5387267485, 0
0, Knapsack, UsedEfficiency, 0.5387267485, 0
0, Knapsack, Time, 0.0000923720, 0
0, Karmarkar-Karp, Weight, 468968472.0000000000, 0
0, Karmarkar-Karp, Weight, 469192843.0000000000, 1
0, Karmarkar-Karp, Weight, 469373699.0000000000, 2
0, Karmarkar-Karp, Weight, 469464380.0000000000, 3
0, Karmarkar-Karp, Weight, 469469102.0000000000, 4
0, Karmarkar-Karp, Weight, 469518557.0000000000, 5
0, Karmarkar-Karp, Weight, 469679729.0000000000, 6
0, Karmarkar-Karp, Weight, 469761167.0000000000, 7
0, Karmarkar-Karp, Weight, 469781707.0000000000, 8
0, Karmarkar-Karp, Weight, 469936639.0000000000, 9
0, Karmarkar-Karp, Weight, 469951895.0000000000, 10
0, Karmarkar-Karp, Weight, 469966887.0000000000, 11
0, Karmarkar-Karp, Weight, 470280568.0000000000, 12
0, Karmarkar-Karp, Weight, 470284243.0000000000, 13
0, Karmarkar-Karp, Weight, 470287759.0000000000, 14
0, Karmarkar-Karp, Weight, 470518252.0000000000, 15
0, Karmarkar-Karp, Weight, 470519181.0000000000, 16
0, Karmarkar-Karp, Weight, 470639329.0000000000, 17
0, Karmarkar-Karp, Weight, 470770525.0000000000, 18
0, Karmarkar-Karp, Weight, 470887666.0000000000, 19
0, Karmarkar-Karp, Weight, 471225077.0000000000, 20
0, Karmarkar-Karp, Weight, 471265455.0000000000, 21
0, Karmarkar-Karp, Weight, 471375175.0000000000, 22
0, Karmarkar-Karp, Weight, 471772300.0000000000, 23
0, Karmarkar-Karp, Weight, 472004689.0000000000, 24
0, Karmarkar-Karp, Weight, 472124142.0000000000, 25
0, Karmarkar-Karp, Weight, 472130582.0000000000, 26
0, Karmarkar-Karp, Weight, 472243212.0000000000, 27
0, Karmarkar-Karp, Weight, 472247423.0000000000, 28
0, Karmarkar-Karp, Weight, 472252003.0000000000, 29
0, Karmarkar-Karp, Weight, 472306235.0000000000, 30
0, Karmarkar-Karp, Weight, 472306342.0000000000, 31
0, Karmarkar-Karp, Weight, 472309097.0000000000, 32
0, Karmarkar-Karp, Weight, 472311993.0000000000, 33
0, Karmarkar-Karp, Weight, 598060201.0000000000, 34
0, Karmarkar-Karp, Weight, 606615257.0000000000, 35
0, Karmarkar-Karp, Weight, 606850769.0000000000, 36
0, Karmarkar-Karp, Weight, 607934805.0000000000, 37
0, Karmarkar-Karp, Weight, 626713482.0000000000, 38
0, Karmarkar-Karp, Weight, 631190947.0000000000, 39
0, Karmarkar-Karp, Weight, 631215760.0000000000, 40
0, Karmarkar-Karp, Weight, 635284790.0000000000, 41
0, Karmarkar-Karp, Weight, 637564202.0000000000, 42
0, Karmarkar-Karp, Weight, 637581050.0000000000, 43
0, Karmarkar-Karp, Weight, 637594361.0000000000, 44
0, Karmarkar-Karp, Weight, 997018383.0000000000, 45
0, Karmarkar-Karp, Weight, 998133620.0000000000, 46
0, Karmarkar-Karp, Weight, 1000000001.0000000000, 47
0, Karmarkar-Karp, Efficiency, 0.5387267485, 0
0, Karmarkar-Karp, UsedEfficiency, 0.5387267485, 0
0, Karmarkar-Karp, Time, 0.0039768800, 0
0, SFC, Weight, 534655750.0000000000, 0
0, SFC, Weight, 113052592.0000000000, 1
0, SFC, Weight, 912721598.0000000000, 2
0, SFC, Weight, 185392957.0000000000, 3
0, SFC, Weight, 543142256.0000000000, 4
0, SFC, Weight, 548536394.0000000000, 5
0, SFC, Weight, 557202931.0000000000, 6
0, SFC, Weight, 548770533.0000000000, 7
0, SFC, Weight, 538780668.0000000000, 8
0, SFC, Weight, 556176177.0000000000, 9
0, SFC, Weight, 553502673.0000000000, 10
0, SFC, Weight, 854574855.0000000000, 11
