0, Original, Efficiency, 0.3186647986, 0
0, Original, Weight, 109459887.0000000000, 0
0, Original, Weight, 4704085726.0000000000, 1
0, Original, Weight, 975858306.0000000000, 2
0, Original, Weight, 1058621018.0000000000, 3
0, Original, Weight, 1181626448.0000000000, 4
0, Original, Weight, 102277105.0000000000, 5
0, Original, Weight, 97279037.0000000000, 6
0, Original, Weight, 3763004716.0000000000, 7
0, Original, UsedEfficiency, 0.3186647986, 0
0, Knapsack, Weight, 1542711584.0000000000, 0
0, Knapsack, Weight, 1542711584.0000000000, 1
0, Knapsack, Weight, 1500164916.0000000000, 2
0, Knapsack, Weight, 1484168505.0000000000, 3
0, Knapsack, Weight, 1482528641.0000000000, 4
0, Knapsack, Weight, 1480540398.0000000000, 5
0, Knapsack, Weight, 1480540398.0000000000, 6
0, Knapsack, Weight, 1478846217.0000000000, 7
0, Knapsack, Efficiency, 0.9716829419, 0
0, Knapsack, UsedEfficiency, 0.9716829419, 0
0, Knapsack, Time, 0.0000514050, 0
0, Karmarkar-Karp, Weight, 1478846217.0000000000, 0
0, Karmarkar-Karp, Weight, 1480540398.0000000000, 1
0, Karmarkar-Karp, Weight, 1480540398.0000000000, 2
0, Karmarkar-Karp, Weight, 1482528641.0000000000, 3
0, Karmarkar-Karp, Weight, 1484168505.0000000000, 4
0, Karmarkar-Karp, Weight, 1500164916.0000000000, 5
0, Karmarkar-Karp, Weight, 1542711584.0000000000, 6
0, Karmarkar-Karp, Weight, 1542711584.0000000000, 7
0, Karmarkar-Karp, Efficiency, 0.9716829419, 0
0, Karmarkar-Karp, UsedEfficiency, 0.9716829419, 0
0, Karmarkar-Karp, Time, 0.0001735230, 0
0, SFC, Weight, 881502358.0000000000, 0
0, SFC, Weight, 1881502358.0000000000, 1
0, SFC, Weight, 1000000000.0000000000, 2
0, SFC, Weight, 1542711584.0000000000, 3
0, SFC, Weight, 1661209226.0000000000, 4
0, SFC, Weight, 1500164916.0000000000, 5
0, SFC, Weight, 1496275528.0000000000, 6
0, SFC, Weight, 2028846273.0000000000, 7
0, SFC, Efficiency, 0.7388566351, 0
0, SFC, UsedEfficiency, 0.7388566351, 0
0, SFC, Time, 0.0000453740, 0
0, SFC+Knapsack, Weight, 1763004716.0000000000, 0
0, SFC+Knapsack, Weight, 1661209226.0000000000, 1
0, SFC+Knapsack, Weight, 1542711584.0000000000, 2
0, SFC+Knapsack, Weight, 1000000000.0000000000, 3
0, SFC+Knapsack, Weight, 1527731246.0000000000, 4
0, SFC+Knapsack, Weight, 1504912227.0000000000, 5
0, SFC+Knapsack, Weight, 1496359484.0000000000, 6
0, SFC+Knapsack, Weight, 1496283760.0000000000, 7
0, SFC+Knapsack, Efficiency, 0.8502680207, 0
0, SFC+Knapsack, UsedEfficiency, 0.8502680207, 0
0, SFC+Knapsack, Time, 0.0000681270, 0
0, SFC+Painter, Weight, 1846491204.0000000000, 6
0, SFC+Painter, Weight, 1811158466.0000000000, 5
0, SFC+Painter, Weight, 1763004716.0000000000, 0
0, SFC+Painter, Weight, 1661209226.0000000000, 4
0, SFC+Painter, Weight, 1542711584.0000000000, 3
0, SFC+Painter, Weight, 1367637047.0000000000, 7
0, SFC+Painter, Weight, 1000000000.0000000000, 1
0, SFC+Painter, Weight, 1000000000.0000000000, 2
0, SFC+Painter, Efficiency, 0.8118243548, 0
0, SFC+Painter, UsedEfficiency, 0.8118243548, 0
0, SFC+Painter, Time, 0.0000706620, 0
0, Painter+Knapsack, Weight, 1763004716.0000000000, 0
0, Painter+Knapsack, Weight, 1661209226.0000000000, 1
0, Painter+Knapsack, Weight, 1542711584.0000000000, 2
0, Painter+Knapsack, Weight, 1000000000.0000000000, 3
0, Painter+Knapsack, Weight, 1527731246.0000000000, 4
0, Painter+Knapsack, Weight, 1504912227.0000000000, 5
0, Painter+Knapsack, Weight, 1496359484.0000000000, 6
0, Painter+Knapsack, Weight, 1496283760.0000000000, 7
0, Painter+Knapsack, Efficiency, 0.8502680207, 0
0, Painter+Knapsack, UsedEfficiency, 0.8502680207, 0
0, Painter+Knapsack, Time, 0.0000524380, 0
1, Original, PreviousEfficiency, 0.3184924937, 0
1, Original, Efficiency, 0.3184924937, 0
1, Original, Weight, 109459328.0000000000, 0
1, Original, Weight, 4706134738.0000000000, 1
1, Original, Weight, 975760907.0000000000, 2
1, Original, Weight, 1058304355.0000000000, 3
1, Original, Weight, 1182353431.0000000000, 4
1, Original, Weight, 102276580.0000000000, 5
1, Original, Weight, 97278540.0000000000, 6
1, Original, Weight, 3759380827.0000000000, 7
1, Original, UsedEfficiency, 0.3184924937, 0
1, Knapsack, PreviousEfficiency, 0.9717151628, 0
1, Knapsack, Weight, 1541770443.0000000000, 0
1, Knapsack, Weight, 1541694384.0000000000, 1
1, Knapsack, Weight, 1499956572.0000000000, 2
1, Knapsack, Weight, 1485744102.0000000000, 3
1, Knapsack, Weight, 1482275595.0000000000, 4
1, Knapsack, Weight, 1480468408.0000000000, 5
1, Knapsack, Weight, 1480297161.0000000000, 6
1, Knapsack, Weight, 1478742041.0000000000, 7
1, Knapsack, Efficiency, 0.9721736430, 0
1, Knapsack, UsedEfficiency, 0.9717151628, 0
1, Knapsack, Time, 0.0000265900, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.9716299250, 0
1, Karmarkar-Karp, Weight, 1478742041.0000000000, 0
1, Karmarkar-Karp, Weight, 1480297161.0000000000, 1
1, Karmarkar-Karp, Weight, 1480468408.0000000000, 2
1, Karmarkar-Karp, Weight, 1482275595.0000000000, 3
1, Karmarkar-Karp, Weight, 1485744102.0000000000, 4
1, Karmarkar-Karp, Weight, 1499956572.0000000000, 5
1, Karmarkar-Karp, Weight, 1541694384.0000000000, 6
1, Karmarkar-Karp, Weight, 1541770443.0000000000, 7
1, Karmarkar-Karp, Efficiency, 0.9721736430, 0
1, Karmarkar-Karp, UsedEfficiency, 0.9716299250, 0
1, Karmarkar-Karp, Time, 0.0001360930, 0
1, SFC, PreviousEfficiency, 0.7386215348, 0
1, SFC, Weight, 879734974.0000000000, 0
1, SFC, Weight, 1879648652.0000000000, 1
1, SFC, Weight, 999997201.0000000000, 2
1, SFC, Weight, 1543174944.0000000000, 3
1, SFC, Weight, 1662762917.0000000000, 4
1, SFC, Weight, 1500196877.0000000000, 5
1, SFC, Weight, 1496154928.0000000000, 6
1, SFC, Weight, 2029278213.0000000000, 7
1, SFC, Efficiency, 0.7386215348, 0
1, SFC, UsedEfficiency, 0.7386215348, 0
1, SFC, Time, 0.0000319690, 0
1, SFC+Knapsack, PreviousEfficiency, 0.8511415532, 0
1, SFC+Knapsack, Weight, 1759605266.0000000000, 0
1, SFC+Knapsack, Weight, 1661678511.0000000000, 1
1, SFC+Knapsack, Weight, 1544037709.0000000000, 2
1, SFC+Knapsack, Weight, 999997201.0000000000, 3
1, SFC+Knapsack, Weight, 1527617484.0000000000, 4
1, SFC+Knapsack, Weight, 1504842913.0000000000, 5
1, SFC+Knapsack, Weight, 1496891208.0000000000, 6
1, SFC+Knapsack, Weight, 1496278414.0000000000, 7
1, SFC+Knapsack, Efficiency, 0.8518209267, 0
1, SFC+Knapsack, UsedEfficiency, 0.8511415532, 0
1, SFC+Knapsack, Time, 0.0000330910, 0
1, SFC+Painter, PreviousEfficiency, 0.8114321269, 0
1, SFC+Painter, Weight, 1847189110.0000000000, 6
1, SFC+Painter, Weight, 1811122105.0000000000, 5
1, SFC+Painter, Weight, 1759605266.0000000000, 0
1, SFC+Painter, Weight, 1662762917.0000000000, 4
1, SFC+Painter, Weight, 1543174944.0000000000, 3
1, SFC+Painter, Weight, 1367318803.0000000000, 7
1, SFC+Painter, Weight, 999997201.0000000000, 2
1, SFC+Painter, Weight, 999778360.0000000000, 1
1, SFC+Painter, Efficiency, 0.8114321269, 0
1, SFC+Painter, UsedEfficiency, 0.8114321269, 0
1, SFC+Painter, Time, 0.0000456750, 0
1, Painter+Knapsack, PreviousEfficiency, 0.8511415532, 0
1, Painter+Knapsack, Weight, 1759605266.0000000000, 0
1, Painter+Knapsack, Weight, 1661678511.0000000000, 1
1, Painter+Knapsack, Weight, 1544037709.0000000000, 2
1, Painter+Knapsack, Weight, 999997201.0000000000, 3
1, Painter+Knapsack, Weight, 1527617484.0000000000, 4
1, Painter+Knapsack, Weight, 1504842913.0000000000, 5
1, Painter+Knapsack, Weight, 1496891208.0000000000, 6
1, Painter+Knapsack, Weight, 1496278414.0000000000, 7
1, Painter+Knapsack, Efficiency, 0.8518209267, 0
1, Painter+Knapsack, UsedEfficiency, 0.8511415532, 0
1, Painter+Knapsack, Time, 0.0000383410, 0
2, Original, PreviousEfficiency, 0.3178943502, 0
2, Original, Efficiency, 0.9735981106, 0
2, Original, Weight, 1535657278.0000000000, 0
2, Original, Weight, 1539323367.0000000000, 1
2, Original, Weight, 1531389506.0000000000, 2
2, Original, Weight, 1524166861.0000000000, 3
2, Original, Weight, 1501725542.0000000000, 4
2, Original, Weight, 1510158435.0000000000, 5
2, Original, Weight, 1423645242.0000000000, 6
2, Original, Weight, 1423392343.0000000000, 7
2, Original, UsedEfficiency, 0.9735981106, 0
2, Knapsack, PreviousEfficiency, 0.9703069001, 0
2, Knapsack, Weight, 1538825503.0000000000, 0
2, Knapsack, Weight, 1536155142.0000000000, 1
2, Knapsack, Weight, 1499779964.0000000000, 2
2, Knapsack, Weight, 1490866198.0000000000, 3
2, Knapsack, Weight, 1481802116.0000000000, 4
2, Knapsack, Weight, 1481583781.0000000000, 5
2, Knapsack, Weight, 1480339819.0000000000, 6
2, Knapsack, Weight, 1480106051.0000000000, 7
2, Knapsack, Efficiency, 0.9739131037, 0
2, Knapsack, UsedEfficiency, 0.9703069001, 0
2, Knapsack, Time, 0.0000231330, 0
2, Karmarkar-Karp, PreviousEfficiency, 0.9706197669, 0
