0, Original, Efficiency, 0.3540830326, 0
0, Original, Weight, 2157484754.0000000000, 0
0, Original, Weight, 1160898123.0000000000, 1
0, Original, Weight, 206738924.0000000000, 2
0, Original, Weight, 8467090442.0000000000, 3
0, Original, UsedEfficiency, 0.3540830326, 0
0, Knapsack, Weight, 3003790750.0000000000, 0
0, Knapsack, Weight, 2999348035.0000000000, 1
0, Knapsack, Weight, 2996156389.0000000000, 2
0, Knapsack, Weight, 2992917069.0000000000, 3
0, Knapsack, Efficiency, 0.9980898505, 0
0, Knapsack, UsedEfficiency, 0.9980898505, 0
0, Knapsack, Time, 0.0000471580, 0
0, Karmarkar-Karp, Weight, 2990908568.0000000000, 0
0, Karmarkar-Karp, Weight, 2998875393.0000000000, 1
0, Karmarkar-Karp, Weight, 3000635386.0000000000, 2
0, Karmarkar-Karp, Weight, 3001792896.0000000000, 3
0, Karmarkar-Karp, Efficiency, 0.9987541328, 0
0, Karmarkar-Karp, UsedEfficiency, 0.9980898505, 0
0, Karmarkar-Karp, Time, 0.0001083720, 0
0, SFC, Weight, 2763004716.0000000000, 0
0, SFC, Weight, 3203920810.0000000000, 1
0, SFC, Weight, 2811158466.0000000000, 2
0, SFC, Weight, 3214128251.0000000000, 3
0, SFC, Efficiency, 0.9327733141, 0
0, SFC, UsedEfficiency, 0.9327733141, 0
0, SFC, Time, 0.0000482090, 0
0, SFC+Knapsack, Weight, 3003790750.0000000000, 0
0, SFC+Knapsack, Weight, 2999348035.0000000000, 1
0, SFC+Knapsack, Weight, 2996156389.0000000000, 2
0, SFC+Knapsack, Weight, 2992917069.0000000000, 3
0, SFC+Knapsack, Efficiency, 0.9980898505, 0
0, SFC+Knapsack, UsedEfficiency, 0.9980898505, 0
0, SFC+Knapsack, Time, 0.0000398740, 0
0, SFC+Painter, Weight, 3203920810.0000000000, 1
0, SFC+Painter, Weight, 3165029672.0000000000, 2
0, SFC+Painter, Weight, 2860257045.0000000000, 3
0, SFC+Painter, Weight, 2763004716.0000000000, 0
0, SFC+Painter, Efficiency, 0.9357450569, 0
0, SFC+Painter, UsedEfficiency, 0.9357450569, 0
0, SFC+Painter, Time, 0.0000554740, 0
0, Painter+Knapsack, Weight, 3003790750.0000000000, 0
0, Painter+Knapsack, Weight, 2999348035.0000000000, 1
0, Painter+Knapsack, Weight, 2996156389.0000000000, 2
0, Painter+Knapsack, Weight, 2992917069.0000000000, 3
0, Painter+Knapsack, Efficiency, 0.9980898505, 0
0, Painter+Knapsack, UsedEfficiency, 0.9980898505, 0
0, Painter+Knapsack, Time, 0.0000423590, 0
1, Original, PreviousEfficiency, 0.3541126223, 0
1, Original, Efficiency, 0.3541126223, 0
1, Original, Weight, 2158131821.0000000000, 0
1, Original, Weight, 1160538185.0000000000, 1
1, Original, Weight, 206734493.0000000000, 2
1, Original, Weight, 8465362848.0000000000, 3
1, Original, UsedEfficiency, 0.3541126223, 0
1, Knapsack, PreviousEfficiency, 0.9980635735, 0
1, Knapsack, Weight, 3003402457.0000000000, 0
1, Knapsack, Weight, 2998034094.0000000000, 1
1, Knapsack, Weight, 2997667805.0000000000, 2
1, Knapsack, Weight, 2991662991.0000000000, 3
1, Knapsack, Efficiency, 0.9980986164, 0
1, Knapsack, UsedEfficiency, 0.9980635735, 0
1, Knapsack, Time, 0.0000195270, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.9987156212, 0
1, Karmarkar-Karp, Weight, 2990004953.0000000000, 0
1, Karmarkar-Karp, Weight, 2998211441.0000000000, 1
1, Karmarkar-Karp, Weight, 3001003993.0000000000, 2
1, Karmarkar-Karp, Weight, 3001546960.0000000000, 3
1, Karmarkar-Karp, Efficiency, 0.9987156212, 0
1, Karmarkar-Karp, UsedEfficiency, 0.9987156212, 0
1, Karmarkar-Karp, Time, 0.0000812520, 0
1, SFC, PreviousEfficiency, 0.9325485390, 0
1, SFC, Weight, 2759350226.0000000000, 0
1, SFC, Weight, 3205888770.0000000000, 1
1, SFC, Weight, 2811012740.0000000000, 2
1, SFC, Weight, 3214515611.0000000000, 3
1, SFC, Efficiency, 0.9325485390, 0
1, SFC, UsedEfficiency, 0.9325485390, 0
1, SFC, Time, 0.0000311280, 0
1, SFC+Knapsack, PreviousEfficiency, 0.9980714813, 0
1, SFC+Knapsack, Weight, 3003402457.0000000000, 0
1, SFC+Knapsack, Weight, 2998034094.0000000000, 1
1, SFC+Knapsack, Weight, 2997667805.0000000000, 2
1, SFC+Knapsack, Weight, 2991662991.0000000000, 3
1, SFC+Knapsack, Efficiency, 0.9980986164, 0
1, SFC+Knapsack, UsedEfficiency, 0.9980714813, 0
1, SFC+Knapsack, Time, 0.0000239550, 0
1, SFC+Painter, PreviousEfficiency, 0.9350579673, 0
1, SFC+Painter, Weight, 3205888770.0000000000, 1
1, SFC+Painter, Weight, 3164877284.0000000000, 2
1, SFC+Painter, Weight, 2860651067.0000000000, 3
1, SFC+Painter, Weight, 2759350226.0000000000, 0
1, SFC+Painter, Efficiency, 0.9350579673, 0
1, SFC+Painter, UsedEfficiency, 0.9350579673, 0
1, SFC+Painter, Time, 0.0000343940, 0
1, Painter+Knapsack, PreviousEfficiency, 0.9980635735, 0
1, Painter+Knapsack, Weight, 3003402457.0000000000, 0
1, Painter+Knapsack, Weight, 2998034094.0000000000, 1
1, Painter+Knapsack, Weight, 2997667805.0000000000, 2
1, Painter+Knapsack, Weight, 2991662991.0000000000, 3
1, Painter+Knapsack, Efficiency, 0.9980986164, 0
1, Painter+Knapsack, UsedEfficiency, 0.9980635735, 0
1, Painter+Knapsack, Time, 0.0000305970, 0
2, Original, PreviousEfficiency, 0.3542776801, 0
2, Original, Efficiency, 0.9931262251, 0
2, Original, Weight, 3012478663.0000000000, 0
2, Original, Weight, 3018244125.0000000000, 1
2, Original, Weight, 2991148391.0000000000, 2
2, Original, Weight, 2968118398.0000000000, 3
2, Original, UsedEfficiency, 0.9931262251, 0
2, Knapsack, PreviousEfficiency, 0.9979936738, 0
2, Knapsack, Weight, 3003312529.0000000000, 0
2, Knapsack, Weight, 3001914735.0000000000, 1
2, Knapsack, Weight, 2992728603.0000000000, 2
2, Knapsack, Weight, 2992033710.0000000000, 3
2, Knapsack, Efficiency, 0.9980637597, 0
2, Knapsack, UsedEfficiency, 0.9979936738, 0
2, Knapsack, Time, 0.0000192860, 0
2, Karmarkar-Karp, PreviousEfficiency, 0.9979249293, 0
2, Karmarkar-Karp, Weight, 2993391510.0000000000, 0
2, Karmarkar-Karp, Weight, 2997560429.0000000000, 1
2, Karmarkar-Karp, Weight, 2999272385.0000000000, 2
2, Karmarkar-Karp, Weight, 2999765253.0000000000, 3
2, Karmarkar-Karp, Efficiency, 0.9992439879, 0
2, Karmarkar-Karp, UsedEfficiency, 0.9979249293, 0
2, Karmarkar-Karp, Time, 0.0000788170, 0
2, SFC, PreviousEfficiency, 0.9313876180, 0
2, SFC, Weight, 2746213648.0000000000, 0
2, SFC, Weight, 3214454800.0000000000, 1
2, SFC, Weight, 2811007576.0000000000, 2
2, SFC, Weight, 3218313553.0000000000, 3
2, SFC, Efficiency, 0.9313876180, 0
2, SFC, UsedEfficiency, 0.9313876180, 0
2, SFC, Time, 0.0000261180, 0
2, SFC+Knapsack, PreviousEfficiency, 0.9980032866, 0
2, SFC+Knapsack, Weight, 3003312529.0000000000, 0
2, SFC+Knapsack, Weight, 3001914735.0000000000, 1
2, SFC+Knapsack, Weight, 2992728603.0000000000, 2
2, SFC+Knapsack, Weight, 2992033710.0000000000, 3
2, SFC+Knapsack, Efficiency, 0.9980637597, 0
2, SFC+Knapsack, UsedEfficiency, 0.9980032866, 0
2, SFC+Knapsack, Time, 0.0000246360, 0
2, SFC+Painter, PreviousEfficiency, 0.9325056909, 0
2, SFC+Painter, Weight, 3214454800.0000000000, 1
2, SFC+Painter, Weight, 3164906219.0000000000, 2
2, SFC+Painter, Weight, 2864414910.0000000000, 3
2, SFC+Painter, Weight, 2746213648.0000000000, 0
2, SFC+Painter, Efficiency, 0.9325056909, 0
2, SFC+Painter, UsedEfficiency, 0.9325056909, 0
2, SFC+Painter, Time, 0.0000384210, 0
2, Painter+Knapsack, PreviousEfficiency, 0.9979936738, 0
2, Painter+Knapsack, Weight, 3003312529.0000000000, 0
2, Painter+Knapsack, Weight, 3001914735.0000000000, 1
2, Painter+Knapsack, Weight, 2992728603.0000000000, 2
2, Painter+Knapsack, Weight, 2992033710.0000000000, 3
2, Painter+Knapsack, Efficiency, 0.9980637597, 0
2, Painter+Knapsack, UsedEfficiency, 0.9979936738, 0
2, Painter+Knapsack, Time, 0.0000299860, 0
3, Original, PreviousEfficiency, 0.9902488551, 0
3, Original, Efficiency, 0.9902488551, 0
3, Original, Weight, 3002389799.0000000000, 0
3, Original, Weight, 3026634344.0000000000, 1
3, Original, Weight, 2990948723.0000000000, 2
3, Original, Weight, 2968511910.0000000000, 3
3, Original, UsedEfficiency, 0.9902488551, 0
3, Knapsack, PreviousEfficiency, 0.9971916018, 0
3, Knapsack, Weight, 3001908192.0000000000, 0
3, Knapsack, Weight, 2998482660.0000000000, 1
3, Knapsack, Weight, 2998017763.0000000000, 2
3, Knapsack, Weight, 2990076161.0000000000, 3
3, Knapsack, Efficiency, 0.9984053483, 0
3, Knapsack, UsedEfficiency, 0.9971916018, 0
3, Knapsack, Time, 0.0000189550, 0
3, Karmarkar-Karp, PreviousEfficiency, 0.9965468083, 0
3, Karmarkar-Karp, Weight, 2993072484.0000000000, 0
3, Karmarkar-Karp, Weight, 2994294878.0000000000, 1
3, Karmarkar-Karp, Weight, 3000194409.0000000000, 2
3, Karmarkar-Karp, Weight, 3000923005.0000000000, 3
3, Karmarkar-Karp, Efficiency, 0.9987331194, 0
3, Karmarkar-Karp, UsedEfficiency, 0.9965468083, 0
3, Karmarkar-Karp, Time, 0.0000773240, 0
3, SFC, PreviousEfficiency, 0.9297439098, 0
3, SFC, Weight, 2730825683.0000000000, 0
3, SFC, Weight, 3223598630.0000000000, 1
3, SFC, Weight, 2810877337.0000000000, 2
3, SFC, Weight, 3223183126.0000000000, 3
3, SFC, Efficiency, 0.9297439098, 0
3, SFC, UsedEfficiency, 0.9297439098, 0
3, SFC, Time, 0.0000291740, 0
3, SFC+Knapsack, PreviousEfficiency, 0.9973016883, 0
3, SFC+Knapsack, Weight, 3001908192.0000000000, 0
3, SFC+Knapsack, Weight, 2998482660.0000000000, 1
3, SFC+Knapsack, Weight, 2998017763.0000000000, 2
3, SFC+Knapsack, Weight, 2990076161.0000000000, 3
3, SFC+Knapsack, Efficiency, 0.9984053483, 0
3, SFC+Knapsack, UsedEfficiency, 0.9973016883, 0
3, SFC+Knapsack, Time, 0.0000225320, 0
3, SFC+Painter, PreviousEfficiency, 0.9297439098, 0
3, SFC+Painter, Weight, 3223598630.0000000000, 1
3, SFC+Painter, Weight, 3164775729.0000000000, 2
3, SFC+Painter, Weight, 2869284734.0000000000, 3
3, SFC+Painter, Weight, 2730825683.0000000000, 0
3, SFC+Painter, Efficiency, 0.9297439098, 0
3, SFC+Painter, UsedEfficiency, 0.9297439098, 0
3, SFC+Painter, Time, 0.0000325410, 0
3, Painter+Knapsack, PreviousEfficiency, 0.9971916018, 0
3, Painter+Knapsack, Weight, 3001908192.0000000000, 0
3, Painter+Knapsack, Weight, 2998482660.0000000000, 1
3, Painter+Knapsack, Weight, 2998017763.0000000000, 2
3, Painter+Knapsack, Weight, 2990076161.0000000000, 3
3, Painter+Knapsack, Efficiency, 0.9984053483, 0
3, Painter+Knapsack, UsedEfficiency, 0.9971916018, 0
3, Painter+Knapsack, Time, 0.0000281930, 0
4, Original, PreviousEfficiency, 0.9844622428, 0
4, Original, Efficiency, 0.9844622428, 0
4, Original, Weight, 2988455690.0000000000, 0
4, Original, Weight, 3040821080.0000000000, 1
4, Original, Weight, 2990718767.0000000000, 2
4, Original, Weight, 2954298624.0000000000, 3
4, Original, UsedEfficiency, 0.9844622428, 0
4, Knapsack, PreviousEfficiency, 0.9941497299, 0
4, Knapsack, Weight, 2996957886.0000000000, 0
4, Knapsack, Weight, 2995500857.0000000000, 1
4, Knapsack, Weight, 2991569853.0000000000, 2
4, Knapsack, Weight, 2990265565.0000000000, 3
4, Knapsack, Efficiency, 0.9988707396, 0
4, Knapsack, UsedEfficiency, 0.9941497299, 0
4, Knapsack, Time, 0.0000184740, 0
4, Karmarkar-Karp, PreviousEfficiency, 0.9931449917, 0
4, Karmarkar-Karp, Weight, 2987446741.0000000000, 0
4, Karmarkar-Karp, Weight, 2994051902.0000000000, 1
4, Karmarkar-Karp, Weight, 2994509569.0000000000, 2
4, Karmarkar-Karp, Weight, 2998285949.0000000000, 3
4, Karmarkar-Karp, Efficiency, 0.9984282991, 0
4, Karmarkar-Karp, UsedEfficiency, 0.9931449917, 0
4, Karmarkar-Karp, Time, 0.0000770140, 0
4, SFC, PreviousEfficiency, 0.9271383145, 0
4, SFC, Weight, 2722119399.0000000000, 0
4, SFC, Weight, 3212644960.0000000000, 1
