0, Original, Efficiency, 0.6836648685, 0
0, Original, UsedEfficiency, 0.6836648685, 0
0, Knapsack, Weight, 0.0000000000, 0
0, Knapsack, Weight, 0.0000000000, 1
0, Knapsack, Weight, 0.0000000000, 2
0, Knapsack, Weight, 0.0000000000, 3
0, Knapsack, Weight, 0.0000000000, 4
0, Knapsack, Weight, 0.0000000000, 5
0, Knapsack, Weight, 0.0000000000, 6
0, Knapsack, Weight, 0.0000000000, 7
0, Knapsack, Weight, 0.0000000000, 8
0, Knapsack, Weight, 0.0000000000, 9
0, Knapsack, Weight, 0.0000000000, 10
0, Knapsack, Weight, 0.0000000000, 11
0, Knapsack, Weight, 0.0000000000, 12
0, Knapsack, Weight, 0.0000000000, 13
0, Knapsack, Weight, 0.0000000000, 14
0, Knapsack, Weight, 0.0000000000, 15
0, Knapsack, Weight, 0.0000000000, 16
0, Knapsack, Weight, 0.0000000000, 17
0, Knapsack, Weight, 0.0000000000, 18
0, Knapsack, Weight, 0.0000000000, 19
0, Knapsack, Weight, 0.0000000000, 20
0, Knapsack, Weight, 0.0000000000, 21
0, Knapsack, Weight, 0.0000000000, 22
0, Knapsack, Weight, 0.0000000000, 23
0, Knapsack, Efficiency, 0.7589474061
0, Knapsack, UsedEfficiency, 0.7589474061, 0
0, Knapsack, Time, 0.0047357650, 0
0, Karmarkar-Karp, Weight, 0.0000000000, 743986194
0, Karmarkar-Karp, Weight, 0.0000000000, 744243681
0, Karmarkar-Karp, Weight, 0.0000000000, 744504401
0, Karmarkar-Karp, Weight, 0.0000000000, 744542883
0, Karmarkar-Karp, Weight, 0.0000000000, 744641402
0, Karmarkar-Karp, Weight, 0.0000000000, 744683648
0, Karmarkar-Karp, Weight, 0.0000000000, 744735206
0, Karmarkar-Karp, Weight, 0.0000000000, 744747474
0, Karmarkar-Karp, Weight, 0.0000000000, 744754088
0, Karmarkar-Karp, Weight, 0.0000000000, 744754905
0, Karmarkar-Karp, Weight, 0.0000000000, 744776457
0, Karmarkar-Karp, Weight, 0.0000000000, 744784781
0, Karmarkar-Karp, Weight, 0.0000000000, 745434097
0, Karmarkar-Karp, Weight, 0.0000000000, 745434631
0, Karmarkar-Karp, Weight, 0.0000000000, 745865056
0, Karmarkar-Karp, Weight, 0.0000000000, 746240682
0, Karmarkar-Karp, Weight, 0.0000000000, 747399244
0, Karmarkar-Karp, Weight, 0.0000000000, 747497769
0, Karmarkar-Karp, Weight, 0.0000000000, 747506905
0, Karmarkar-Karp, Weight, 0.0000000000, 747583383
0, Karmarkar-Karp, Weight, 0.0000000000, 748209936
0, Karmarkar-Karp, Weight, 0.0000000000, 777620391
0, Karmarkar-Karp, Weight, 0.0000000000, 780790550
0, Karmarkar-Karp, Weight, 0.0000000000, 1000000001
0, Karmarkar-Karp, Efficiency, 0.7589474061
0, Karmarkar-Karp, UsedEfficiency, 0.7589474061, 0
0, Karmarkar-Karp, Time, 0.0063341910, 0
0, SFC, Efficiency, 0.6332669752
0, SFC, UsedEfficiency, 0.6332669752, 0
0, SFC, Time, 0.0013617980, 0
0, HilbertSFC, Weight, 757297414.0000000000, 0
0, HilbertSFC, Weight, 669892231.0000000000, 1
0, HilbertSFC, Weight, 759370536.0000000000, 2
0, HilbertSFC, Weight, 635700677.0000000000, 3
0, HilbertSFC, Weight, 564415030.0000000000, 4
0, HilbertSFC, Weight, 761046655.0000000000, 5
0, HilbertSFC, Weight, 1105949126.0000000000, 6
0, HilbertSFC, Weight, 563601764.0000000000, 7
0, HilbertSFC, Weight, 780790550.0000000000, 8
0, HilbertSFC, Weight, 775933943.0000000000, 9
0, HilbertSFC, Weight, 806020688.0000000000, 10
0, HilbertSFC, Weight, 775792209.0000000000, 11
0, HilbertSFC, Weight, 777921354.0000000000, 12
0, HilbertSFC, Weight, 776421341.0000000000, 13
0, HilbertSFC, Weight, 635949738.0000000000, 14
0, HilbertSFC, Weight, 639557779.0000000000, 15
0, HilbertSFC, Weight, 1000000001.0000000000, 16
0, HilbertSFC, Weight, 780719618.0000000000, 17
0, HilbertSFC, Weight, 583495110.0000000000, 18
0, HilbertSFC, Weight, 1005868138.0000000000, 19
0, HilbertSFC, Weight, 764788165.0000000000, 20
0, HilbertSFC, Weight, 348797536.0000000000, 21
0, HilbertSFC, Weight, 964209464.0000000000, 22
0, HilbertSFC, Weight, 981198698.0000000000, 23
0, HilbertSFC, Efficiency, 0.6862407945
0, HilbertSFC, UsedEfficiency, 0.6862407945, 0
0, HilbertSFC, Time, 1.1997411830, 0
0, SFC+Knapsack, Efficiency, 0.7146168966
0, SFC+Knapsack, UsedEfficiency, 0.7146168966, 0
0, SFC+Knapsack, Time, 0.0008935220, 0
0, SFC+Painter, Weight, 0.0000000000, 1000000001
0, SFC+Painter, Weight, 0.0000000000, 997582989
0, SFC+Painter, Weight, 0.0000000000, 991317276
0, SFC+Painter, Weight, 0.0000000000, 985788904
0, SFC+Painter, Weight, 0.0000000000, 972276370
0, SFC+Painter, Weight, 0.0000000000, 964149020
0, SFC+Painter, Weight, 0.0000000000, 925024848
0, SFC+Painter, Weight, 0.0000000000, 891937580
0, SFC+Painter, Weight, 0.0000000000, 885977934
0, SFC+Painter, Weight, 0.0000000000, 884427081
0, SFC+Painter, Weight, 0.0000000000, 853656736
0, SFC+Painter, Weight, 0.0000000000, 739402145
0, SFC+Painter, Weight, 0.0000000000, 717147081
0, SFC+Painter, Weight, 0.0000000000, 710988815
0, SFC+Painter, Weight, 0.0000000000, 687518913
0, SFC+Painter, Weight, 0.0000000000, 666660793
0, SFC+Painter, Weight, 0.0000000000, 647784757
0, SFC+Painter, Weight, 0.0000000000, 634315464
0, SFC+Painter, Weight, 0.0000000000, 625831536
0, SFC+Painter, Weight, 0.0000000000, 621376934
0, SFC+Painter, Weight, 0.0000000000, 614478697
0, SFC+Painter, Weight, 0.0000000000, 600839344
0, SFC+Painter, Weight, 0.0000000000, 596254547
0, SFC+Painter, Weight, 0.0000000000, 0
0, SFC+Painter, Efficiency, 0.7589474061
0, SFC+Painter, UsedEfficiency, 0.7589474061, 0
0, SFC+Painter, Time, 0.0047608130, 0
0, Hilbert+Painter, Efficiency, 0.7589474061
0, Hilbert+Painter, Efficiency, 0.7589474061, 0
0, Hilbert+Painter, UsedEfficiency, 0.7589474061, 0
0, Hilbert+Painter, Time, 0.0015655830, 0
0, SFC+Painter, Weight, 0.0000000000, -1106916749
0, SFC+Painter, Weight, 0.0000000000, -1108467716
0, SFC+Painter, Weight, 0.0000000000, -1156186555
0, SFC+Painter, Weight, 0.0000000000, -1229822969
0, SFC+Painter, Weight, 0.0000000000, -1356133660
0, SFC+Painter, Weight, 0.0000000000, -1597538362
0, SFC+Painter, Efficiency, 0.9522401175
0, Painter+Knapsack, Weight, 743682164.0000000000, 0
0, Painter+Knapsack, Weight, 739974327.0000000000, 1
0, Painter+Knapsack, Weight, 728158162.0000000000, 2
0, Painter+Knapsack, Weight, 727018983.0000000000, 3
0, Painter+Knapsack, Weight, 785317331.0000000000, 4
0, Painter+Knapsack, Weight, 784917644.0000000000, 5
0, Painter+Knapsack, Weight, 784831012.0000000000, 6
0, Painter+Knapsack, Weight, 783714754.0000000000, 7
0, Painter+Knapsack, Weight, 877102490.0000000000, 8
0, Painter+Knapsack, Weight, 772115787.0000000000, 9
0, Painter+Knapsack, Weight, 771728045.0000000000, 10
0, Painter+Knapsack, Weight, 767104225.0000000000, 11
0, Painter+Knapsack, Weight, 1000000001.0000000000, 12
0, Painter+Knapsack, Weight, 730990191.0000000000, 13
0, Painter+Knapsack, Weight, 730387297.0000000000, 14
0, Painter+Knapsack, Weight, 725122091.0000000000, 15
0, Painter+Knapsack, Weight, 676096097.0000000000, 16
0, Painter+Knapsack, Weight, 675858645.0000000000, 17
0, Painter+Knapsack, Weight, 672863190.0000000000, 18
0, Painter+Knapsack, Weight, 672611002.0000000000, 19
0, Painter+Knapsack, Weight, 780790550.0000000000, 20
0, Painter+Knapsack, Weight, 777620391.0000000000, 21
0, Painter+Knapsack, Weight, 755851655.0000000000, 22
0, Painter+Knapsack, Weight, 750881731.0000000000, 23
0, Painter+Knapsack, Efficiency, 0.7589474061
0, Painter+Knapsack, UsedEfficiency, 0.7589474061, 0
0, Painter+Knapsack, Time, 0.0069298560, 0
1, Original, PreviousEfficiency, 0.3807560633, 0
1, Original, Efficiency, 0.3807560633, 0
1, Original, UsedEfficiency, 0.3807560633, 0
1, Knapsack, PreviousEfficiency, 0.5681018323, 0
1, Knapsack, Weight, 0.0000000000, 0
1, Knapsack, Weight, 0.0000000000, 1
1, Knapsack, Weight, 0.0000000000, 2
1, Knapsack, Weight, 0.0000000000, 3
1, Knapsack, Weight, 0.0000000000, 4
1, Knapsack, Weight, 0.0000000000, 5
1, Knapsack, Weight, 0.0000000000, 6
1, Knapsack, Weight, 0.0000000000, 7
1, Knapsack, Weight, 0.0000000000, 8
1, Knapsack, Weight, 0.0000000000, 9
1, Knapsack, Weight, 0.0000000000, 10
1, Knapsack, Weight, 0.0000000000, 11
1, Knapsack, Weight, 0.0000000000, 12
1, Knapsack, Weight, 0.0000000000, 13
1, Knapsack, Weight, 0.0000000000, 14
1, Knapsack, Weight, 0.0000000000, 15
1, Knapsack, Weight, 0.0000000000, 16
1, Knapsack, Weight, 0.0000000000, 17
1, Knapsack, Weight, 0.0000000000, 18
1, Knapsack, Weight, 0.0000000000, 19
1, Knapsack, Weight, 0.0000000000, 20
1, Knapsack, Weight, 0.0000000000, 21
1, Knapsack, Weight, 0.0000000000, 22
1, Knapsack, Weight, 0.0000000000, 23
1, Knapsack, Efficiency, 0.9941784828
1, Knapsack, UsedEfficiency, 0.9941784828, 0
1, Knapsack, Time, 0.0051878310, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.5681018323, 0
1, Karmarkar-Karp, Weight, 0.0000000000, 1396618522
1, Karmarkar-Karp, Weight, 0.0000000000, 1396618540
1, Karmarkar-Karp, Weight, 0.0000000000, 1396623702
1, Karmarkar-Karp, Weight, 0.0000000000, 1396624088
1, Karmarkar-Karp, Weight, 0.0000000000, 1396625472
1, Karmarkar-Karp, Weight, 0.0000000000, 1396625680
1, Karmarkar-Karp, Weight, 0.0000000000, 1396626620
1, Karmarkar-Karp, Weight, 0.0000000000, 1396673962
1, Karmarkar-Karp, Weight, 0.0000000000, 1396832494
1, Karmarkar-Karp, Weight, 0.0000000000, 1396833985
1, Karmarkar-Karp, Weight, 0.0000000000, 1396835009
1, Karmarkar-Karp, Weight, 0.0000000000, 1396835323
1, Karmarkar-Karp, Weight, 0.0000000000, 1398091791
1, Karmarkar-Karp, Weight, 0.0000000000, 1398095371
1, Karmarkar-Karp, Weight, 0.0000000000, 1398100506
1, Karmarkar-Karp, Weight, 0.0000000000, 1398426340
1, Karmarkar-Karp, Weight, 0.0000000000, 1399375805
1, Karmarkar-Karp, Weight, 0.0000000000, 1400032527
1, Karmarkar-Karp, Weight, 0.0000000000, 1400522914
1, Karmarkar-Karp, Weight, 0.0000000000, 1400831018
1, Karmarkar-Karp, Weight, 0.0000000000, 1400846637
1, Karmarkar-Karp, Weight, 0.0000000000, 1400990864
1, Karmarkar-Karp, Weight, 0.0000000000, 1401360504
1, Karmarkar-Karp, Weight, 0.0000000000, 1407785848
1, Karmarkar-Karp, Efficiency, 0.9983777804
1, Karmarkar-Karp, UsedEfficiency, 0.9983777804, 0
1, Karmarkar-Karp, Time, 0.0051235460, 0
1, SFC, PreviousEfficiency, 0.2680544581, 0
1, SFC, Efficiency, 0.9471620670
1, SFC, UsedEfficiency, 0.9471620670, 0
1, SFC, Time, 0.0008718990, 0
1, HilbertSFC, PreviousEfficiency, 0.2357917283, 0
1, HilbertSFC, Weight, 5670388817.0000000000, 0
1, HilbertSFC, Weight, 5695241696.0000000000, 1
1, HilbertSFC, Weight, 5713498018.0000000000, 2
1, HilbertSFC, Weight, 5375241291.0000000000, 3
1, HilbertSFC, Weight, 5792504484.0000000000, 4
1, HilbertSFC, Weight, 5827662578.0000000000, 5
1, HilbertSFC, Weight, 5154226728.0000000000, 6
1, HilbertSFC, Weight, 5859381898.0000000000, 7
1, HilbertSFC, Weight, 5853382076.0000000000, 8
1, HilbertSFC, Weight, 5747436672.0000000000, 9
1, HilbertSFC, Weight, 5802034793.0000000000, 10
1, HilbertSFC, Weight, 5105145171.0000000000, 11
1, HilbertSFC, Weight, 5817955032.0000000000, 12
1, HilbertSFC, Weight, 6027153475.0000000000, 13
1, HilbertSFC, Weight, 5259928773.0000000000, 14
1, HilbertSFC, Weight, 5733198408.0000000000, 15
1, HilbertSFC, Weight, 5925553662.0000000000, 16
1, HilbertSFC, Weight, 5705318290.0000000000, 17
1, HilbertSFC, Weight, 5458987332.0000000000, 18
1, HilbertSFC, Weight, 5480168736.0000000000, 19
1, HilbertSFC, Weight, 5731283888.0000000000, 20
1, HilbertSFC, Weight, 5693767239.0000000000, 21
1, HilbertSFC, Weight, 5985919444.0000000000, 22
1, HilbertSFC, Weight, 6228670125.0000000000, 23
1, HilbertSFC, Efficiency, 0.9140798777
1, HilbertSFC, UsedEfficiency, 0.9140798777, 0
1, HilbertSFC, Time, 0.0092197310, 0
1, SFC+Knapsack, PreviousEfficiency, 0.2537070623, 0
1, SFC+Knapsack, Efficiency, 0.9468351701
1, SFC+Knapsack, UsedEfficiency, 0.9468351701, 0
1, SFC+Knapsack, Time, 0.0007451640, 0
1, SFC+Painter, PreviousEfficiency, 0.3010712185, 0
1, SFC+Painter, Weight, 0.0000000000, 1665654833
1, SFC+Painter, Weight, 0.0000000000, 1664581574
1, SFC+Painter, Weight, 0.0000000000, 1662532727
1, SFC+Painter, Weight, 0.0000000000, 1645453271
1, SFC+Painter, Weight, 0.0000000000, 1638557428
1, SFC+Painter, Weight, 0.0000000000, 1630137325
1, SFC+Painter, Weight, 0.0000000000, 1626173987
1, SFC+Painter, Weight, 0.0000000000, 1623160711
1, SFC+Painter, Weight, 0.0000000000, 1620580740
1, SFC+Painter, Weight, 0.0000000000, 1596737647
1, SFC+Painter, Weight, 0.0000000000, 1596568340
1, SFC+Painter, Weight, 0.0000000000, 1575669736
1, SFC+Painter, Weight, 0.0000000000, 1575113394
1, SFC+Painter, Weight, 0.0000000000, 1469862997
1, SFC+Painter, Weight, 0.0000000000, 1446248189
1, SFC+Painter, Weight, 0.0000000000, 1423005486
1, SFC+Painter, Weight, 0.0000000000, 1410291384
1, SFC+Painter, Weight, 0.0000000000, 1381617706
1, SFC+Painter, Weight, 0.0000000000, 1175435799
1, SFC+Painter, Weight, 0.0000000000, 1171694228
1, SFC+Painter, Weight, 0.0000000000, 990448082
1, SFC+Painter, Weight, 0.0000000000, 856821760
1, SFC+Painter, Weight, 0.0000000000, 835778180
1, SFC+Painter, Weight, 0.0000000000, 282707998
1, SFC+Painter, Efficiency, 0.9551858687
1, SFC+Painter, UsedEfficiency, 0.9551858687, 0
1, SFC+Painter, Time, 0.0046500990, 0
1, Hilbert+Painter, PreviousEfficiency, 0.1890494080, 0
1, Hilbert+Painter, Efficiency, 0.9505456144
1, Hilbert+Painter, Efficiency, 0.9505456144, 0
1, Hilbert+Painter, UsedEfficiency, 0.9505456144, 0
1, Hilbert+Painter, Time, 0.0016450870, 0
1, Painter+Knapsack, PreviousEfficiency, 0.2537070623, 0
1, SFC+Painter, Weight, 0.0000000000, 1681952288
1, SFC+Painter, Weight, 0.0000000000, 1648422246
1, SFC+Painter, Weight, 0.0000000000, 1529895690
1, SFC+Painter, Weight, 0.0000000000, 1036491959
1, SFC+Painter, Weight, 0.0000000000, 1035907885
1, SFC+Painter, Weight, 0.0000000000, 862359678
1, SFC+Painter, Efficiency, 0.9834700455
1, Painter+Knapsack, Weight, 5897628114.0000000000, 0
1, Painter+Knapsack, Weight, 5641445186.0000000000, 1
1, Painter+Knapsack, Weight, 5490488469.0000000000, 2
1, Painter+Knapsack, Weight, 5481182596.0000000000, 3
1, Painter+Knapsack, Weight, 5968966178.0000000000, 4
1, Painter+Knapsack, Weight, 5968810591.0000000000, 5
1, Painter+Knapsack, Weight, 5968183909.0000000000, 6
1, Painter+Knapsack, Weight, 5250828090.0000000000, 7
1, Painter+Knapsack, Weight, 6012410266.0000000000, 8
1, Painter+Knapsack, Weight, 6007623200.0000000000, 9
1, Painter+Knapsack, Weight, 5577327290.0000000000, 10
1, Painter+Knapsack, Weight, 5525897970.0000000000, 11
1, Painter+Knapsack, Weight, 5760482954.0000000000, 12
1, Painter+Knapsack, Weight, 5752164246.0000000000, 13
1, Painter+Knapsack, Weight, 5746496012.0000000000, 14
1, Painter+Knapsack, Weight, 5745588958.0000000000, 15
1, Painter+Knapsack, Weight, 5656234980.0000000000, 16
1, Painter+Knapsack, Weight, 5649334491.0000000000, 17
1, Painter+Knapsack, Weight, 5603138640.0000000000, 18
1, Painter+Knapsack, Weight, 5602620328.0000000000, 19
1, Painter+Knapsack, Weight, 5615861517.0000000000, 20
1, Painter+Knapsack, Weight, 5587406743.0000000000, 21
1, Painter+Knapsack, Weight, 5579221740.0000000000, 22
1, Painter+Knapsack, Weight, 5554706158.0000000000, 23
1, Painter+Knapsack, Efficiency, 0.9469583369
1, Painter+Knapsack, UsedEfficiency, 0.9469583369, 0
1, Painter+Knapsack, Time, 0.0073509310, 0
2, Original, PreviousEfficiency, 0.3705463722, 0
2, Original, Efficiency, 0.9666283429, 0
2, Original, UsedEfficiency, 0.9666283429, 0
2, Knapsack, PreviousEfficiency, 0.9666283429, 0
2, Knapsack, Weight, 0.0000000000, 0
2, Knapsack, Weight, 0.0000000000, 1
2, Knapsack, Weight, 0.0000000000, 2
2, Knapsack, Weight, 0.0000000000, 3
2, Knapsack, Weight, 0.0000000000, 4
2, Knapsack, Weight, 0.0000000000, 5
2, Knapsack, Weight, 0.0000000000, 6
2, Knapsack, Weight, 0.0000000000, 7
2, Knapsack, Weight, 0.0000000000, 8
2, Knapsack, Weight, 0.0000000000, 9
2, Knapsack, Weight, 0.0000000000, 10
2, Knapsack, Weight, 0.0000000000, 11
2, Knapsack, Weight, 0.0000000000, 12
2, Knapsack, Weight, 0.0000000000, 13
2, Knapsack, Weight, 0.0000000000, 14
2, Knapsack, Weight, 0.0000000000, 15
2, Knapsack, Weight, 0.0000000000, 16
2, Knapsack, Weight, 0.0000000000, 17
2, Knapsack, Weight, 0.0000000000, 18
2, Knapsack, Weight, 0.0000000000, 19
2, Knapsack, Weight, 0.0000000000, 20
2, Knapsack, Weight, 0.0000000000, 21
2, Knapsack, Weight, 0.0000000000, 22
2, Knapsack, Weight, 0.0000000000, 23
2, Knapsack, Efficiency, 0.9959558001
2, Knapsack, UsedEfficiency, 0.9666283429, 0
2, Knapsack, Time, 0.0049472740, 0
2, Karmarkar-Karp, PreviousEfficiency, 0.9623396071, 0
2, Karmarkar-Karp, Weight, 0.0000000000, 1640160551
2, Karmarkar-Karp, Weight, 0.0000000000, 1640163538
2, Karmarkar-Karp, Weight, 0.0000000000, 1640163853
2, Karmarkar-Karp, Weight, 0.0000000000, 1640163936
2, Karmarkar-Karp, Weight, 0.0000000000, 1640166457
2, Karmarkar-Karp, Weight, 0.0000000000, 1640166801
2, Karmarkar-Karp, Weight, 0.0000000000, 1640166909
2, Karmarkar-Karp, Weight, 0.0000000000, 1640167425
2, Karmarkar-Karp, Weight, 0.0000000000, 1640168183
2, Karmarkar-Karp, Weight, 0.0000000000, 1640170543
2, Karmarkar-Karp, Weight, 0.0000000000, 1640171458
2, Karmarkar-Karp, Weight, 0.0000000000, 1640171548
2, Karmarkar-Karp, Weight, 0.0000000000, 1640174984
2, Karmarkar-Karp, Weight, 0.0000000000, 1640177181
2, Karmarkar-Karp, Weight, 0.0000000000, 1640177583
2, Karmarkar-Karp, Weight, 0.0000000000, 1640847087
2, Karmarkar-Karp, Weight, 0.0000000000, 1640897233
2, Karmarkar-Karp, Weight, 0.0000000000, 1640973522
2, Karmarkar-Karp, Weight, 0.0000000000, 1640974686
2, Karmarkar-Karp, Weight, 0.0000000000, 1643288142
2, Karmarkar-Karp, Weight, 0.0000000000, 1643288703
2, Karmarkar-Karp, Weight, 0.0000000000, 1643470460
2, Karmarkar-Karp, Weight, 0.0000000000, 1646685133
2, Karmarkar-Karp, Weight, 0.0000000000, 1653910692
2, Karmarkar-Karp, Efficiency, 0.9979198458
2, Karmarkar-Karp, UsedEfficiency, 0.9623396071, 0
2, Karmarkar-Karp, Time, 0.0048250280, 0
2, SFC, PreviousEfficiency, 0.9102126290, 0
2, SFC, Efficiency, 0.9232931193
2, SFC, UsedEfficiency, 0.9102126290, 0
2, SFC, Time, 0.0007535400, 0
2, HilbertSFC, PreviousEfficiency, 0.8474355883, 0
2, HilbertSFC, Weight, 5879284480.0000000000, 0
2, HilbertSFC, Weight, 5949245856.0000000000, 1
2, HilbertSFC, Weight, 5169248592.0000000000, 2
2, HilbertSFC, Weight, 6064782115.0000000000, 3
2, HilbertSFC, Weight, 6379956436.0000000000, 4
2, HilbertSFC, Weight, 6058404476.0000000000, 5
2, HilbertSFC, Weight, 5294305109.0000000000, 6
2, HilbertSFC, Weight, 6402510680.0000000000, 7
2, HilbertSFC, Weight, 6084254301.0000000000, 8
2, HilbertSFC, Weight, 5438960854.0000000000, 9
2, HilbertSFC, Weight, 6308025262.0000000000, 10
2, HilbertSFC, Weight, 5389942512.0000000000, 11
2, HilbertSFC, Weight, 6580408004.0000000000, 12
2, HilbertSFC, Weight, 5610087334.0000000000, 13
2, HilbertSFC, Weight, 6388605285.0000000000, 14
2, HilbertSFC, Weight, 5262349338.0000000000, 15
2, HilbertSFC, Weight, 6377603929.0000000000, 16
2, HilbertSFC, Weight, 5881800235.0000000000, 17
2, HilbertSFC, Weight, 6093754564.0000000000, 18
2, HilbertSFC, Weight, 5530981409.0000000000, 19
2, HilbertSFC, Weight, 5874329164.0000000000, 20
2, HilbertSFC, Weight, 6263181904.0000000000, 21
2, HilbertSFC, Weight, 5877211505.0000000000, 22
2, HilbertSFC, Weight, 6316848368.0000000000, 23
2, HilbertSFC, Efficiency, 0.9021482256
2, HilbertSFC, UsedEfficiency, 0.8474355883, 0
2, HilbertSFC, Time, 0.0115140160, 0
2, SFC+Knapsack, PreviousEfficiency, 0.8822269222, 0
2, SFC+Knapsack, Efficiency, 0.9334768198
2, SFC+Knapsack, UsedEfficiency, 0.8822269222, 0
2, SFC+Knapsack, Time, 0.0023155160, 0
2, SFC+Painter, PreviousEfficiency, 0.9102126290, 0
2, SFC+Painter, Weight, 0.0000000000, 2054716628
2, SFC+Painter, Weight, 0.0000000000, 2052745894
2, SFC+Painter, Weight, 0.0000000000, 2040884114
2, SFC+Painter, Weight, 0.0000000000, 2035283278
2, SFC+Painter, Weight, 0.0000000000, 2020228113
2, SFC+Painter, Weight, 0.0000000000, 2011652069
2, SFC+Painter, Weight, 0.0000000000, 1987825240
2, SFC+Painter, Weight, 0.0000000000, 1979910803
2, SFC+Painter, Weight, 0.0000000000, 1925991992
2, SFC+Painter, Weight, 0.0000000000, 1907713296
2, SFC+Painter, Weight, 0.0000000000, 1840375087
2, SFC+Painter, Weight, 0.0000000000, 1817848407
2, SFC+Painter, Weight, 0.0000000000, 1811803435
2, SFC+Painter, Weight, 0.0000000000, 1702615892
2, SFC+Painter, Weight, 0.0000000000, 1561610191
2, SFC+Painter, Weight, 0.0000000000, 1407246193
2, SFC+Painter, Weight, 0.0000000000, 1306866195
2, SFC+Painter, Weight, 0.0000000000, 1274435173
2, SFC+Painter, Weight, 0.0000000000, 1198566846
2, SFC+Painter, Weight, 0.0000000000, 1176485599
2, SFC+Painter, Weight, 0.0000000000, 1172177437
2, SFC+Painter, Weight, 0.0000000000, 1168343981
2, SFC+Painter, Weight, 0.0000000000, 1153009299
2, SFC+Painter, Weight, 0.0000000000, 788531446
2, SFC+Painter, Efficiency, 0.9349289627
2, SFC+Painter, UsedEfficiency, 0.9102126290, 0
2, SFC+Painter, Time, 0.0045085140, 0
2, Hilbert+Painter, PreviousEfficiency, 0.9143696724, 0
2, Hilbert+Painter, Efficiency, 0.9397888090
2, Hilbert+Painter, Efficiency, 0.9397888090, 0
2, Hilbert+Painter, UsedEfficiency, 0.9143696724, 0
2, Hilbert+Painter, Time, 0.0011030170, 0
2, Painter+Knapsack, PreviousEfficiency, 0.8830404753, 0
2, SFC+Painter, Weight, 0.0000000000, -1731452787
2, SFC+Painter, Weight, 0.0000000000, -1802849389
2, SFC+Painter, Weight, 0.0000000000, -2044044399
2, SFC+Painter, Weight, 0.0000000000, -2085024242
2, SFC+Painter, Weight, 0.0000000000, -2141950652
2, SFC+Painter, Weight, 0.0000000000, 1957547821
2, SFC+Painter, Efficiency, 0.9878387095
2, Painter+Knapsack, Weight, 5947634832.0000000000, 0
2, Painter+Knapsack, Weight, 5915456853.0000000000, 1
2, Painter+Knapsack, Weight, 5911994480.0000000000, 2
2, Painter+Knapsack, Weight, 5909693369.0000000000, 3
2, Painter+Knapsack, Weight, 6359561672.0000000000, 4
2, Painter+Knapsack, Weight, 6347458432.0000000000, 5
2, Painter+Knapsack, Weight, 5461036650.0000000000, 6
