0, Original, Efficiency, 0.3977376535, 0
0, Original, Weight, 245933536.0000000000, 0
0, Original, Weight, 243055659.0000000000, 1
0, Original, Weight, 237111280.0000000000, 2
0, Original, Weight, 248313338.0000000000, 3
0, Original, Weight, 284506999.0000000000, 4
0, Original, Weight, 286266573.0000000000, 5
0, Original, Weight, 283182486.0000000000, 6
0, Original, Weight, 269898089.0000000000, 7
0, Original, Weight, 211162300.0000000000, 8
0, Original, Weight, 851566771.0000000000, 9
0, Original, Weight, 854830989.0000000000, 10
0, Original, Weight, 858680622.0000000000, 11
0, Original, Weight, 184029265.0000000000, 12
0, Original, Weight, 518246457.0000000000, 13
0, Original, Weight, 516864847.0000000000, 14
0, Original, Weight, 517410104.0000000000, 15
0, Original, Weight, 455279515.0000000000, 16
0, Original, Weight, 458466050.0000000000, 17
0, Original, Weight, 456715016.0000000000, 18
0, Original, Weight, 455070377.0000000000, 19
0, Original, Weight, 712817489.0000000000, 20
0, Original, Weight, 711040334.0000000000, 21
0, Original, Weight, 710971389.0000000000, 22
0, Original, Weight, 711808100.0000000000, 23
0, Original, Weight, 248129582.0000000000, 24
0, Original, Weight, 251878290.0000000000, 25
0, Original, Weight, 254807520.0000000000, 26
0, Original, Weight, 246099332.0000000000, 27
0, Original, Weight, 603329600.0000000000, 28
0, Original, Weight, 605797482.0000000000, 29
0, Original, Weight, 213616643.0000000000, 30
0, Original, Weight, 212237076.0000000000, 31
0, Original, Weight, 220715695.0000000000, 32
0, Original, Weight, 203518928.0000000000, 33
0, Original, Weight, 207167779.0000000000, 34
0, Original, Weight, 222861487.0000000000, 35
0, Original, Weight, 296495008.0000000000, 36
0, Original, Weight, 294603675.0000000000, 37
0, Original, Weight, 287929440.0000000000, 38
0, Original, Weight, 268651039.0000000000, 39
0, Original, Weight, 600299354.0000000000, 40
0, Original, Weight, 599797148.0000000000, 41
0, Original, Weight, 602251642.0000000000, 42
0, Original, Weight, 599502237.0000000000, 43
0, Original, Weight, 513833136.0000000000, 44
0, Original, Weight, 515832947.0000000000, 45
0, Original, Weight, 515241300.0000000000, 46
0, Original, Weight, 517433376.0000000000, 47
0, Original, Weight, 343721660.0000000000, 48
0, Original, Weight, 337732664.0000000000, 49
0, Original, Weight, 334750408.0000000000, 50
0, Original, Weight, 325037903.0000000000, 51
0, Original, Weight, 234738943.0000000000, 52
0, Original, Weight, 233229256.0000000000, 53
0, Original, Weight, 235059501.0000000000, 54
0, Original, Weight, 230325341.0000000000, 55
0, Original, Weight, 299451571.0000000000, 56
0, Original, Weight, 293446531.0000000000, 57
0, Original, Weight, 296688136.0000000000, 58
0, Original, Weight, 295737598.0000000000, 59
0, Original, Weight, 197395874.0000000000, 60
0, Original, Weight, 197968410.0000000000, 61
0, Original, Weight, 191062664.0000000000, 62
0, Original, Weight, 566959124.0000000000, 63
0, Original, Weight, 188985936.0000000000, 64
0, Original, Weight, 187243623.0000000000, 65
0, Original, Weight, 206694746.0000000000, 66
0, Original, Weight, 207070581.0000000000, 67
0, Original, Weight, 189819463.0000000000, 68
0, Original, Weight, 188806028.0000000000, 69
0, Original, Weight, 186911723.0000000000, 70
0, Original, Weight, 177584676.0000000000, 71
0, Original, Weight, 173136393.0000000000, 72
0, Original, Weight, 1006747776.0000000000, 73
0, Original, Weight, 1006950451.0000000000, 74
0, Original, Weight, 1006868001.0000000000, 75
0, Original, Weight, 449704583.0000000000, 76
0, Original, Weight, 450845410.0000000000, 77
0, Original, Weight, 447949971.0000000000, 78
0, Original, Weight, 446819236.0000000000, 79
0, Original, Weight, 376900957.0000000000, 80
0, Original, Weight, 378616305.0000000000, 81
0, Original, Weight, 376187766.0000000000, 82
0, Original, Weight, 375678141.0000000000, 83
0, Original, Weight, 211509974.0000000000, 84
0, Original, Weight, 214279009.0000000000, 85
0, Original, Weight, 212043127.0000000000, 86
0, Original, Weight, 216994391.0000000000, 87
0, Original, Weight, 798881693.0000000000, 88
0, Original, Weight, 793976779.0000000000, 89
0, Original, Weight, 790993982.0000000000, 90
0, Original, Weight, 799184428.0000000000, 91
0, Original, Weight, 341583753.0000000000, 92
0, Original, Weight, 342966606.0000000000, 93
0, Original, Weight, 348252616.0000000000, 94
0, Original, Weight, 349451511.0000000000, 95
0, Original, UsedEfficiency, 0.3977376535, 0
0, Knapsack, Weight, 1000000001.0000000000, 0
0, Knapsack, Weight, 999998599.0000000000, 1
0, Knapsack, Weight, 999822067.0000000000, 2
0, Knapsack, Weight, 847039402.0000000000, 3
0, Knapsack, Weight, 843195544.0000000000, 4
0, Knapsack, Weight, 842403279.0000000000, 5
0, Knapsack, Weight, 792235871.0000000000, 6
0, Knapsack, Weight, 791961154.0000000000, 7
0, Knapsack, Weight, 787084370.0000000000, 8
0, Knapsack, Weight, 784126329.0000000000, 9
0, Knapsack, Weight, 696860391.0000000000, 10
0, Knapsack, Weight, 695757580.0000000000, 11
0, Knapsack, Weight, 695050476.0000000000, 12
0, Knapsack, Weight, 694969736.0000000000, 13
0, Knapsack, Weight, 596759497.0000000000, 14
0, Knapsack, Weight, 594139054.0000000000, 15
0, Knapsack, Weight, 593656212.0000000000, 16
0, Knapsack, Weight, 591624444.0000000000, 17
0, Knapsack, Weight, 591066838.0000000000, 18
0, Knapsack, Weight, 590840550.0000000000, 19
0, Knapsack, Weight, 559953841.0000000000, 20
0, Knapsack, Weight, 509089809.0000000000, 21
0, Knapsack, Weight, 509078043.0000000000, 22
0, Knapsack, Weight, 508089841.0000000000, 23
0, Knapsack, Weight, 507678125.0000000000, 24
0, Knapsack, Weight, 507003334.0000000000, 25
0, Knapsack, Weight, 506607526.0000000000, 26
0, Knapsack, Weight, 504969578.0000000000, 27
0, Knapsack, Weight, 449230795.0000000000, 28
0, Knapsack, Weight, 447474409.0000000000, 29
0, Knapsack, Weight, 445977867.0000000000, 30
0, Knapsack, Weight, 445914605.0000000000, 31
0, Knapsack, Weight, 437121342.0000000000, 32
0, Knapsack, Weight, 436050266.0000000000, 33
0, Knapsack, Weight, 434237867.0000000000, 34
0, Knapsack, Weight, 433145691.0000000000, 35
0, Knapsack, Weight, 371743156.0000000000, 36
0, Knapsack, Weight, 370021659.0000000000, 37
0, Knapsack, Weight, 369259308.0000000000, 38
0, Knapsack, Weight, 368686752.0000000000, 39
0, Knapsack, Weight, 341484636.0000000000, 40
0, Knapsack, Weight, 341420637.0000000000, 41
0, Knapsack, Weight, 335987398.0000000000, 42
0, Knapsack, Weight, 334714438.0000000000, 43
0, Knapsack, Weight, 314036181.0000000000, 44
0, Knapsack, Weight, 307984703.0000000000, 45
0, Knapsack, Weight, 304114828.0000000000, 46
0, Knapsack, Weight, 295162050.0000000000, 47
0, Knapsack, Weight, 269048613.0000000000, 48
0, Knapsack, Weight, 265321001.0000000000, 49
0, Knapsack, Weight, 265286786.0000000000, 50
0, Knapsack, Weight, 262026725.0000000000, 51
0, Knapsack, Weight, 259876381.0000000000, 52
0, Knapsack, Weight, 258895687.0000000000, 53
0, Knapsack, Weight, 257636588.0000000000, 54
0, Knapsack, Weight, 257238247.0000000000, 55
0, Knapsack, Weight, 255579695.0000000000, 56
0, Knapsack, Weight, 248343429.0000000000, 57
0, Knapsack, Weight, 243212710.0000000000, 58
0, Knapsack, Weight, 243207215.0000000000, 59
0, Knapsack, Weight, 242749706.0000000000, 60
0, Knapsack, Weight, 242691607.0000000000, 61
0, Knapsack, Weight, 240643917.0000000000, 62
0, Knapsack, Weight, 240641182.0000000000, 63
0, Knapsack, Weight, 240638787.0000000000, 64
0, Knapsack, Weight, 240631365.0000000000, 65
0, Knapsack, Weight, 240510421.0000000000, 66
0, Knapsack, Weight, 240476630.0000000000, 67
0, Knapsack, Weight, 240375259.0000000000, 68
0, Knapsack, Weight, 240315366.0000000000, 69
0, Knapsack, Weight, 240283876.0000000000, 70
0, Knapsack, Weight, 240280576.0000000000, 71
0, Knapsack, Weight, 240257462.0000000000, 72
0, Knapsack, Weight, 240175430.0000000000, 73
0, Knapsack, Weight, 240136395.0000000000, 74
0, Knapsack, Weight, 240117207.0000000000, 75
0, Knapsack, Weight, 240114231.0000000000, 76
0, Knapsack, Weight, 239984708.0000000000, 77
0, Knapsack, Weight, 239806476.0000000000, 78
0, Knapsack, Weight, 239732126.0000000000, 79
0, Knapsack, Weight, 239709886.0000000000, 80
0, Knapsack, Weight, 239674100.0000000000, 81
0, Knapsack, Weight, 239532563.0000000000, 82
0, Knapsack, Weight, 239500067.0000000000, 83
0, Knapsack, Weight, 239383680.0000000000, 84
0, Knapsack, Weight, 239370455.0000000000, 85
0, Knapsack, Weight, 239326224.0000000000, 86
0, Knapsack, Weight, 239173069.0000000000, 87
0, Knapsack, Weight, 239142893.0000000000, 88
0, Knapsack, Weight, 239055953.0000000000, 89
0, Knapsack, Weight, 239050601.0000000000, 90
0, Knapsack, Weight, 238996986.0000000000, 91
0, Knapsack, Weight, 238811821.0000000000, 92
0, Knapsack, Weight, 238810418.0000000000, 93
0, Knapsack, Weight, 238809533.0000000000, 94
0, Knapsack, Weight, 238788388.0000000000, 95
0, Knapsack, Efficiency, 0.4005021092, 0
0, Knapsack, UsedEfficiency, 0.4005021092, 0
0, Knapsack, Time, 0.0001594070, 0
0, Karmarkar-Karp, Weight, 238788388.0000000000, 0
0, Karmarkar-Karp, Weight, 238809533.0000000000, 1
0, Karmarkar-Karp, Weight, 238810418.0000000000, 2
0, Karmarkar-Karp, Weight, 238811821.0000000000, 3
0, Karmarkar-Karp, Weight, 238996986.0000000000, 4
0, Karmarkar-Karp, Weight, 239050601.0000000000, 5
0, Karmarkar-Karp, Weight, 239055953.0000000000, 6
0, Karmarkar-Karp, Weight, 239142893.0000000000, 7
0, Karmarkar-Karp, Weight, 239173069.0000000000, 8
0, Karmarkar-Karp, Weight, 239326224.0000000000, 9
0, Karmarkar-Karp, Weight, 239370455.0000000000, 10
0, Karmarkar-Karp, Weight, 239383680.0000000000, 11
0, Karmarkar-Karp, Weight, 239500067.0000000000, 12
0, Karmarkar-Karp, Weight, 239532563.0000000000, 13
0, Karmarkar-Karp, Weight, 239674100.0000000000, 14
0, Karmarkar-Karp, Weight, 239709886.0000000000, 15
0, Karmarkar-Karp, Weight, 239732126.0000000000, 16
0, Karmarkar-Karp, Weight, 239806476.0000000000, 17
