0, Original, Efficiency, 0.3260715712, 0
0, Original, Weight, 1675537336.0000000000, 0
0, Original, Weight, 159098001.0000000000, 1
0, Original, Weight, 157872644.0000000000, 2
0, Original, Weight, 155787880.0000000000, 3
0, Original, Weight, 6061258059.0000000000, 4
0, Original, Weight, 6765314520.0000000000, 5
0, Original, Weight, 1228935717.0000000000, 6
0, Original, Weight, 147757365.0000000000, 7
0, Original, Weight, 147757365.0000000000, 8
0, Original, Weight, 147941272.0000000000, 9
0, Original, Weight, 146718617.0000000000, 10
0, Original, Weight, 6714305182.0000000000, 11
0, Original, Weight, 5418471969.0000000000, 12
0, Original, Weight, 6095335172.0000000000, 13
0, Original, Weight, 137988284.0000000000, 14
0, Original, Weight, 135548378.0000000000, 15
0, Original, UsedEfficiency, 0.3260715712, 0
0, Knapsack, Weight, 2327011886.0000000000, 0
0, Knapsack, Weight, 2327011886.0000000000, 1
0, Knapsack, Weight, 2289577024.0000000000, 2
0, Knapsack, Weight, 2289577024.0000000000, 3
0, Knapsack, Weight, 2289577024.0000000000, 4
0, Knapsack, Weight, 2276002548.0000000000, 5
0, Knapsack, Weight, 2276002548.0000000000, 6
0, Knapsack, Weight, 2276002548.0000000000, 7
0, Knapsack, Weight, 2124890104.0000000000, 8
0, Knapsack, Weight, 2124890104.0000000000, 9
0, Knapsack, Weight, 2124717176.0000000000, 10
0, Knapsack, Weight, 2124717176.0000000000, 11
0, Knapsack, Weight, 2122782307.0000000000, 12
0, Knapsack, Weight, 2107622802.0000000000, 13
0, Knapsack, Weight, 2107622802.0000000000, 14
0, Knapsack, Weight, 2107622802.0000000000, 15
0, Knapsack, Efficiency, 0.9479868789, 0
0, Knapsack, UsedEfficiency, 0.9479868789, 0
0, Knapsack, Time, 0.0000487510, 0
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 0
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 1
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 2
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 3
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 4
0, Karmarkar-Karp, Weight, 2126112759.0000000000, 5
0, Karmarkar-Karp, Weight, 2127335414.0000000000, 6
0, Karmarkar-Karp, Weight, 2127508342.0000000000, 7
0, Karmarkar-Karp, Weight, 2260356849.0000000000, 8
0, Karmarkar-Karp, Weight, 2276002548.0000000000, 9
0, Karmarkar-Karp, Weight, 2276002548.0000000000, 10
0, Karmarkar-Karp, Weight, 2276002548.0000000000, 11
0, Karmarkar-Karp, Weight, 2289577024.0000000000, 12
0, Karmarkar-Karp, Weight, 2289577024.0000000000, 13
0, Karmarkar-Karp, Weight, 2289577024.0000000000, 14
0, Karmarkar-Karp, Weight, 2327011886.0000000000, 15
0, Karmarkar-Karp, Efficiency, 0.9479868789, 0
0, Karmarkar-Karp, UsedEfficiency, 0.9479868789, 0
0, Karmarkar-Karp, Time, 0.0003622250, 0
0, SFC, Weight, 1530629028.0000000000, 0
0, SFC, Weight, 2765314516.0000000000, 1
0, SFC, Weight, 1765314515.0000000000, 2
0, SFC, Weight, 1765314515.0000000000, 3
0, SFC, Weight, 3000000003.0000000000, 4
0, SFC, Weight, 2000000002.0000000000, 5
0, SFC, Weight, 2000000002.0000000000, 6
0, SFC, Weight, 2000000002.0000000000, 7
0, SFC, Weight, 2714305178.0000000000, 8
0, SFC, Weight, 1647650140.0000000000, 9
0, SFC, Weight, 2580995104.0000000000, 10
0, SFC, Weight, 1866689928.0000000000, 11
0, SFC, Weight, 2800034892.0000000000, 12
0, SFC, Weight, 2056739706.0000000000, 13
0, SFC, Weight, 2525977547.0000000000, 14
0, SFC, Weight, 2276662683.0000000000, 15
0, SFC, Efficiency, 0.7353255776, 0
0, SFC, UsedEfficiency, 0.7353255776, 0
0, SFC, Time, 0.0000441420, 0
0, SFC+Knapsack, Weight, 2295943542.0000000000, 0
0, SFC+Knapsack, Weight, 2000000002.0000000000, 1
0, SFC+Knapsack, Weight, 1765314515.0000000000, 2
0, SFC+Knapsack, Weight, 1765314515.0000000000, 3
0, SFC+Knapsack, Weight, 3000000003.0000000000, 4
0, SFC+Knapsack, Weight, 2000000002.0000000000, 5
0, SFC+Knapsack, Weight, 2000000002.0000000000, 6
0, SFC+Knapsack, Weight, 2000000002.0000000000, 7
0, SFC+Knapsack, Weight, 2580995104.0000000000, 8
0, SFC+Knapsack, Weight, 2428610353.0000000000, 9
0, SFC+Knapsack, Weight, 1933344965.0000000000, 10
0, SFC+Knapsack, Weight, 1866689928.0000000000, 11
0, SFC+Knapsack, Weight, 2423506019.0000000000, 12
0, SFC+Knapsack, Weight, 2421167099.0000000000, 13
0, SFC+Knapsack, Weight, 2407458670.0000000000, 14
0, SFC+Knapsack, Weight, 2407283040.0000000000, 15
0, SFC+Knapsack, Efficiency, 0.7353255776, 0
0, SFC+Knapsack, UsedEfficiency, 0.7353255776, 0
0, SFC+Knapsack, Time, 0.0000456350, 0
0, SFC+Painter, Weight, 2714305178.0000000000, 8
0, SFC+Painter, Weight, 2681761662.0000000000, 13
0, SFC+Painter, Weight, 2580995104.0000000000, 9
0, SFC+Painter, Weight, 2580995104.0000000000, 10
0, SFC+Painter, Weight, 2530629029.0000000000, 2
0, SFC+Painter, Weight, 2464643324.0000000000, 14
0, SFC+Painter, Weight, 2295943542.0000000000, 0
0, SFC+Painter, Weight, 2000000002.0000000000, 1
0, SFC+Painter, Weight, 2000000002.0000000000, 3
0, SFC+Painter, Weight, 2000000002.0000000000, 4
0, SFC+Painter, Weight, 2000000002.0000000000, 5
0, SFC+Painter, Weight, 2000000002.0000000000, 6
0, SFC+Painter, Weight, 2000000002.0000000000, 7
0, SFC+Painter, Weight, 1866689928.0000000000, 11
0, SFC+Painter, Weight, 1866689928.0000000000, 12
0, SFC+Painter, Weight, 1712974950.0000000000, 15
0, SFC+Painter, Efficiency, 0.8127224429, 0
0, SFC+Painter, UsedEfficiency, 0.8127224429, 0
0, SFC+Painter, Time, 0.0000602820, 0
0, Painter+Knapsack, Weight, 2530629029.0000000000, 0
0, Painter+Knapsack, Weight, 2295943542.0000000000, 1
0, Painter+Knapsack, Weight, 2000000002.0000000000, 2
0, Painter+Knapsack, Weight, 2000000002.0000000000, 3
0, Painter+Knapsack, Weight, 3000000003.0000000000, 4
0, Painter+Knapsack, Weight, 2000000002.0000000000, 5
0, Painter+Knapsack, Weight, 2000000002.0000000000, 6
0, Painter+Knapsack, Weight, 2000000002.0000000000, 7
0, Painter+Knapsack, Weight, 2580995104.0000000000, 8
0, Painter+Knapsack, Weight, 2428610353.0000000000, 9
0, Painter+Knapsack, Weight, 1866689928.0000000000, 10
0, Painter+Knapsack, Weight, 1866689928.0000000000, 11
0, Painter+Knapsack, Weight, 2189002980.0000000000, 12
0, Painter+Knapsack, Weight, 2180848155.0000000000, 13
0, Painter+Knapsack, Weight, 2180848155.0000000000, 14
0, Painter+Knapsack, Weight, 2175370574.0000000000, 15
0, Painter+Knapsack, Efficiency, 0.7353255776, 0
0, Painter+Knapsack, UsedEfficiency, 0.7353255776, 0
0, Painter+Knapsack, Time, 0.0000475090, 0
1, Original, PreviousEfficiency, 0.3260696692, 0
1, Original, Efficiency, 0.9421716102, 0
1, Original, Weight, 2341289286.0000000000, 0
1, Original, Weight, 2328971755.0000000000, 1
1, Original, Weight, 2327898223.0000000000, 2
1, Original, Weight, 2327886273.0000000000, 3
1, Original, Weight, 2326835415.0000000000, 4
1, Original, Weight, 2326824586.0000000000, 5
1, Original, Weight, 2324093052.0000000000, 6
1, Original, Weight, 2324063429.0000000000, 7
1, Original, Weight, 2091438619.0000000000, 8
1, Original, Weight, 2091415219.0000000000, 9
1, Original, Weight, 2090225146.0000000000, 10
1, Original, Weight, 2090219918.0000000000, 11
1, Original, Weight, 2090218922.0000000000, 12
1, Original, Weight, 2090151708.0000000000, 13
1, Original, Weight, 2090054246.0000000000, 14
1, Original, Weight, 2032754948.0000000000, 15
1, Original, UsedEfficiency, 0.9421716102, 0
1, Knapsack, PreviousEfficiency, 0.9479903305, 0
1, Knapsack, Weight, 2326834419.0000000000, 0
1, Knapsack, Weight, 2326824586.0000000000, 1
1, Knapsack, Weight, 2289551470.0000000000, 2
1, Knapsack, Weight, 2289525331.0000000000, 3
1, Knapsack, Weight, 2289480522.0000000000, 4
1, Knapsack, Weight, 2276088463.0000000000, 5
1, Knapsack, Weight, 2276076513.0000000000, 6
1, Knapsack, Weight, 2275939346.0000000000, 7
1, Knapsack, Weight, 2124755810.0000000000, 8
1, Knapsack, Weight, 2124732410.0000000000, 9
1, Knapsack, Weight, 2124690677.0000000000, 10
1, Knapsack, Weight, 2124593339.0000000000, 11
1, Knapsack, Weight, 2122772495.0000000000, 12
1, Knapsack, Weight, 2107495937.0000000000, 13
1, Knapsack, Weight, 2107489838.0000000000, 14
1, Knapsack, Weight, 2107489589.0000000000, 15
1, Knapsack, Efficiency, 0.9480246117, 0
1, Knapsack, UsedEfficiency, 0.9479903305, 0
1, Knapsack, Time, 0.0000255980, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.9479749146, 0
1, Karmarkar-Karp, Weight, 2125992650.0000000000, 0
1, Karmarkar-Karp, Weight, 2126096833.0000000000, 1
1, Karmarkar-Karp, Weight, 2126098077.0000000000, 2
1, Karmarkar-Karp, Weight, 2126100691.0000000000, 3
1, Karmarkar-Karp, Weight, 2126101189.0000000000, 4
1, Karmarkar-Karp, Weight, 2126102808.0000000000, 5
1, Karmarkar-Karp, Weight, 2127213556.0000000000, 6
1, Karmarkar-Karp, Weight, 2127361091.0000000000, 7
1, Karmarkar-Karp, Weight, 2260180702.0000000000, 8
1, Karmarkar-Karp, Weight, 2275928890.0000000000, 9
1, Karmarkar-Karp, Weight, 2276064065.0000000000, 10
