0, Original, Efficiency, 0.8841276629, 0
0, Original, Weight, 1119305568.0000000000, 0
0, Original, Weight, 1204283678.0000000000, 1
0, Original, Weight, 1047838761.0000000000, 2
0, Original, Weight, 1051384054.0000000000, 3
0, Original, Weight, 912201321.0000000000, 4
0, Original, Weight, 1017287762.0000000000, 5
0, Original, Weight, 1021691507.0000000000, 6
0, Original, Weight, 1143931459.0000000000, 7
0, Original, UsedEfficiency, 0.8841276629, 0
0, Knapsack, Weight, 1070343580.0000000000, 0
0, Knapsack, Weight, 1065619539.0000000000, 1
0, Knapsack, Weight, 1065618938.0000000000, 2
0, Knapsack, Weight, 1065588358.0000000000, 3
0, Knapsack, Weight, 1064304368.0000000000, 4
0, Knapsack, Weight, 1063372197.0000000000, 5
0, Knapsack, Weight, 1062036746.0000000000, 6
0, Knapsack, Weight, 1061040384.0000000000, 7
0, Knapsack, Efficiency, 0.9947651704, 0
0, Knapsack, UsedEfficiency, 0.9947651704, 0
0, Knapsack, Time, 0.0000655820, 0
0, Karmarkar-Karp, Weight, 1061040384.0000000000, 0
0, Karmarkar-Karp, Weight, 1062036746.0000000000, 1
0, Karmarkar-Karp, Weight, 1063372197.0000000000, 2
0, Karmarkar-Karp, Weight, 1064304368.0000000000, 3
0, Karmarkar-Karp, Weight, 1065583210.0000000000, 4
0, Karmarkar-Karp, Weight, 1065605436.0000000000, 5
0, Karmarkar-Karp, Weight, 1065638189.0000000000, 6
0, Karmarkar-Karp, Weight, 1070343580.0000000000, 7
0, Karmarkar-Karp, Efficiency, 0.9947651704, 0
0, Karmarkar-Karp, UsedEfficiency, 0.9947651704, 0
0, Karmarkar-Karp, Time, 0.0001875100, 0
0, SFC, Weight, 1022111292.0000000000, 0
0, SFC, Weight, 1061171825.0000000000, 1
0, SFC, Weight, 264932020.0000000000, 2
0, SFC, Weight, 1084101324.0000000000, 3
0, SFC, Weight, 1827942812.0000000000, 4
0, SFC, Weight, 1092228060.0000000000, 5
0, SFC, Weight, 1070078951.0000000000, 6
0, SFC, Weight, 1095357826.0000000000, 7
0, SFC, Efficiency, 0.5824802104, 0
0, SFC, UsedEfficiency, 0.5824802104, 0
0, SFC, Time, 0.0000596510, 0
0, SFC+Knapsack, Weight, 956669654.0000000000, 0
0, SFC+Knapsack, Weight, 939351658.0000000000, 1
0, SFC+Knapsack, Weight, 926749465.0000000000, 2
0, SFC+Knapsack, Weight, 683789206.0000000000, 3
0, SFC+Knapsack, Weight, 1753699290.0000000000, 4
0, SFC+Knapsack, Weight, 1088395511.0000000000, 5
0, SFC+Knapsack, Weight, 1085034040.0000000000, 6
0, SFC+Knapsack, Weight, 1084235286.0000000000, 7
0, SFC+Knapsack, Efficiency, 0.6071397302, 0
0, SFC+Knapsack, UsedEfficiency, 0.6071397302, 0
0, SFC+Knapsack, Time, 0.0000619450, 0
0, SFC+Painter, Weight, 1108225962.0000000000, 1
0, SFC+Painter, Weight, 1086919006.0000000000, 4
0, SFC+Painter, Weight, 1083775763.0000000000, 2
0, SFC+Painter, Weight, 1082962877.0000000000, 0
0, SFC+Painter, Weight, 1074085792.0000000000, 7
0, SFC+Painter, Weight, 1066911283.0000000000, 6
0, SFC+Painter, Weight, 1033290617.0000000000, 3
0, SFC+Painter, Weight, 981752810.0000000000, 5
0, SFC+Painter, Efficiency, 0.9607612078, 0
0, SFC+Painter, UsedEfficiency, 0.9607612078, 0
0, SFC+Painter, Time, 0.0000841270, 0
0, Painter+Knapsack, Weight, 1081091616.0000000000, 0
0, Painter+Knapsack, Weight, 1077095672.0000000000, 1
0, Painter+Knapsack, Weight, 1076629542.0000000000, 2
0, Painter+Knapsack, Weight, 1073438389.0000000000, 3
0, Painter+Knapsack, Weight, 1056889056.0000000000, 4
0, Painter+Knapsack, Weight, 1052387653.0000000000, 5
0, Painter+Knapsack, Weight, 1051317773.0000000000, 6
0, Painter+Knapsack, Weight, 1049074409.0000000000, 7
0, Painter+Knapsack, Efficiency, 0.9848753778, 0
0, Painter+Knapsack, UsedEfficiency, 0.9848753778, 0
0, Painter+Knapsack, Time, 0.0000603030, 0
1, Original, PreviousEfficiency, 0.3902991366, 0
1, Original, Efficiency, 0.3902991366, 0
1, Original, Weight, 665333718.0000000000, 0
1, Original, Weight, 4667931134.0000000000, 1
1, Original, Weight, 1395236128.0000000000, 2
1, Original, Weight, 1450023113.0000000000, 3
1, Original, Weight, 1619715919.0000000000, 4
1, Original, Weight, 559061804.0000000000, 5
1, Original, Weight, 581978213.0000000000, 6
1, Original, Weight, 3635835903.0000000000, 7
1, Original, UsedEfficiency, 0.3902991366, 0
1, Knapsack, PreviousEfficiency, 0.4556952873, 0
1, Knapsack, Weight, 1863878447.0000000000, 0
1, Knapsack, Weight, 1839851851.0000000000, 1
1, Knapsack, Weight, 1824244215.0000000000, 2
1, Knapsack, Weight, 1821122923.0000000000, 3
1, Knapsack, Weight, 1820053518.0000000000, 4
1, Knapsack, Weight, 1803091724.0000000000, 5
1, Knapsack, Weight, 1802014903.0000000000, 6
1, Knapsack, Weight, 1800858351.0000000000, 7
1, Knapsack, Efficiency, 0.9774722673, 0
1, Knapsack, UsedEfficiency, 0.9774722673, 0
1, Knapsack, Time, 0.0000326710, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.4556533292, 0
1, Karmarkar-Karp, Weight, 1804651096.0000000000, 0
1, Karmarkar-Karp, Weight, 1805700459.0000000000, 1
1, Karmarkar-Karp, Weight, 1810600963.0000000000, 2
1, Karmarkar-Karp, Weight, 1818546082.0000000000, 3
1, Karmarkar-Karp, Weight, 1820072744.0000000000, 4
1, Karmarkar-Karp, Weight, 1832502749.0000000000, 5
1, Karmarkar-Karp, Weight, 1832910437.0000000000, 6
1, Karmarkar-Karp, Weight, 1850131402.0000000000, 7
1, Karmarkar-Karp, Efficiency, 0.9847351867, 0
1, Karmarkar-Karp, UsedEfficiency, 0.9774722673, 0
1, Karmarkar-Karp, Time, 0.0001444600, 0
1, SFC, PreviousEfficiency, 0.4967076604, 0
1, SFC, Weight, 961712786.0000000000, 0
1, SFC, Weight, 2674123117.0000000000, 1
1, SFC, Weight, 1678383040.0000000000, 2
1, SFC, Weight, 1577181082.0000000000, 3
1, SFC, Weight, 1892257138.0000000000, 4
1, SFC, Weight, 1750109863.0000000000, 5
1, SFC, Weight, 1909016400.0000000000, 6
1, SFC, Weight, 2132332506.0000000000, 7
1, SFC, Efficiency, 0.6813035196, 0
1, SFC, UsedEfficiency, 0.6813035196, 0
1, SFC, Time, 0.0000410760, 0
1, SFC+Knapsack, PreviousEfficiency, 0.2251424299, 0
1, SFC+Knapsack, Weight, 1812291107.0000000000, 0
1, SFC+Knapsack, Weight, 1771929127.0000000000, 1
1, SFC+Knapsack, Weight, 1667083966.0000000000, 2
1, SFC+Knapsack, Weight, 1640095825.0000000000, 3
1, SFC+Knapsack, Weight, 1939069281.0000000000, 4
1, SFC+Knapsack, Weight, 1937260638.0000000000, 5
1, SFC+Knapsack, Weight, 1906929769.0000000000, 6
1, SFC+Knapsack, Weight, 1900456219.0000000000, 7
1, SFC+Knapsack, Efficiency, 0.9395690548, 0
1, SFC+Knapsack, UsedEfficiency, 0.9395690548, 0
1, SFC+Knapsack, Time, 0.0000390420, 0
