0, Original, Efficiency, 0.8841276629, 0
0, Original, UsedEfficiency, 0.8841276629, 0
0, Knapsack, Weight, 0.0000000000, 0
0, Knapsack, Weight, 0.0000000000, 1
0, Knapsack, Weight, 0.0000000000, 2
0, Knapsack, Weight, 0.0000000000, 3
0, Knapsack, Weight, 0.0000000000, 4
0, Knapsack, Weight, 0.0000000000, 5
0, Knapsack, Weight, 0.0000000000, 6
0, Knapsack, Weight, 0.0000000000, 7
0, Knapsack, Efficiency, 0.9947651704
0, Knapsack, UsedEfficiency, 0.9947651704, 0
0, Knapsack, Time, 0.0024402480, 0
0, Karmarkar-Karp, Weight, 0.0000000000, 1061040384
0, Karmarkar-Karp, Weight, 0.0000000000, 1062036746
0, Karmarkar-Karp, Weight, 0.0000000000, 1063372197
0, Karmarkar-Karp, Weight, 0.0000000000, 1064304368
0, Karmarkar-Karp, Weight, 0.0000000000, 1065583210
0, Karmarkar-Karp, Weight, 0.0000000000, 1065605436
0, Karmarkar-Karp, Weight, 0.0000000000, 1065638189
0, Karmarkar-Karp, Weight, 0.0000000000, 1070343580
0, Karmarkar-Karp, Efficiency, 0.9947651704
0, Karmarkar-Karp, UsedEfficiency, 0.9947651704, 0
0, Karmarkar-Karp, Time, 0.0020684870, 0
0, SFC, Efficiency, 0.5824802104
0, SFC, UsedEfficiency, 0.5824802104, 0
0, SFC, Time, 0.0007928760, 0
0, HilbertSFC, Weight, 1064374482.0000000000, 0
0, HilbertSFC, Weight, 1046334165.0000000000, 1
0, HilbertSFC, Weight, 1075052861.0000000000, 2
0, HilbertSFC, Weight, 225818997.0000000000, 3
0, HilbertSFC, Weight, 1071155978.0000000000, 4
0, HilbertSFC, Weight, 1103272134.0000000000, 5
0, HilbertSFC, Weight, 1819216475.0000000000, 6
0, HilbertSFC, Weight, 1112699018.0000000000, 7
0, HilbertSFC, Efficiency, 0.5852742257
0, HilbertSFC, UsedEfficiency, 0.5852742257, 0
0, HilbertSFC, Time, 1.1834229570, 0
0, SFC+Knapsack, Efficiency, 0.6071397302
0, SFC+Knapsack, UsedEfficiency, 0.6071397302, 0
0, SFC+Knapsack, Time, 0.0013446850, 0
0, SFC+Painter, Weight, 0.0000000000, 1108225962
0, SFC+Painter, Weight, 0.0000000000, 1086919006
0, SFC+Painter, Weight, 0.0000000000, 1083775763
0, SFC+Painter, Weight, 0.0000000000, 1082962877
0, SFC+Painter, Weight, 0.0000000000, 1074085792
0, SFC+Painter, Weight, 0.0000000000, 1066911283
0, SFC+Painter, Weight, 0.0000000000, 1033290617
0, SFC+Painter, Weight, 0.0000000000, 981752810
0, SFC+Painter, Efficiency, 0.9607612078
0, SFC+Painter, UsedEfficiency, 0.9607612078, 0
0, SFC+Painter, Time, 0.0028271470, 0
0, Hilbert+Painter, Efficiency, 0.8934655491
0, Hilbert+Painter, Efficiency, 0.8934655491, 0
0, Hilbert+Painter, UsedEfficiency, 0.8934655491, 0
0, Hilbert+Painter, Time, 0.0021175830, 0
0, SFC+Painter, Weight, 0.0000000000, 13287923
0, SFC+Painter, Weight, 0.0000000000, -85298405
0, SFC+Painter, Efficiency, 0.9885584392
0, Painter+Knapsack, Weight, 1081091616.0000000000, 0
0, Painter+Knapsack, Weight, 1077095672.0000000000, 1
0, Painter+Knapsack, Weight, 1076629542.0000000000, 2
0, Painter+Knapsack, Weight, 1073438389.0000000000, 3
0, Painter+Knapsack, Weight, 1056889056.0000000000, 4
0, Painter+Knapsack, Weight, 1052387653.0000000000, 5
0, Painter+Knapsack, Weight, 1051317773.0000000000, 6
0, Painter+Knapsack, Weight, 1049074409.0000000000, 7
0, Painter+Knapsack, Efficiency, 0.9848753778
0, Painter+Knapsack, UsedEfficiency, 0.9848753778, 0
0, Painter+Knapsack, Time, 0.0033503410, 0
1, Original, PreviousEfficiency, 0.3902991366, 0
1, Original, Efficiency, 0.3902991366, 0
1, Original, UsedEfficiency, 0.3902991366, 0
1, Knapsack, PreviousEfficiency, 0.4556952873, 0
1, Knapsack, Weight, 0.0000000000, 0
1, Knapsack, Weight, 0.0000000000, 1
1, Knapsack, Weight, 0.0000000000, 2
1, Knapsack, Weight, 0.0000000000, 3
1, Knapsack, Weight, 0.0000000000, 4
1, Knapsack, Weight, 0.0000000000, 5
1, Knapsack, Weight, 0.0000000000, 6
1, Knapsack, Weight, 0.0000000000, 7
1, Knapsack, Efficiency, 0.9774722673
1, Knapsack, UsedEfficiency, 0.9774722673, 0
1, Knapsack, Time, 0.0022752980, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.4556533292, 0
1, Karmarkar-Karp, Weight, 0.0000000000, 1804651096
1, Karmarkar-Karp, Weight, 0.0000000000, 1805700459
1, Karmarkar-Karp, Weight, 0.0000000000, 1810600963
1, Karmarkar-Karp, Weight, 0.0000000000, 1818546082
1, Karmarkar-Karp, Weight, 0.0000000000, 1820072744
1, Karmarkar-Karp, Weight, 0.0000000000, 1832502749
1, Karmarkar-Karp, Weight, 0.0000000000, 1832910437
1, Karmarkar-Karp, Weight, 0.0000000000, 1850131402
1, Karmarkar-Karp, Efficiency, 0.9847351867
1, Karmarkar-Karp, UsedEfficiency, 0.9847351867, 0
1, Karmarkar-Karp, Time, 0.0030940450, 0
1, SFC, PreviousEfficiency, 0.4967076604, 0
1, SFC, Efficiency, 0.6813035196
1, SFC, UsedEfficiency, 0.6813035196, 0
1, SFC, Time, 0.0009872430, 0
1, HilbertSFC, PreviousEfficiency, 0.5681516671, 0
1, HilbertSFC, Weight, 1734684394.0000000000, 0
1, HilbertSFC, Weight, 1047322763.0000000000, 1
1, HilbertSFC, Weight, 2519003158.0000000000, 2
1, HilbertSFC, Weight, 1925940238.0000000000, 3
1, HilbertSFC, Weight, 1484104403.0000000000, 4
1, HilbertSFC, Weight, 1872413247.0000000000, 5
1, HilbertSFC, Weight, 2130419062.0000000000, 6
1, HilbertSFC, Weight, 1861228667.0000000000, 7
1, HilbertSFC, Efficiency, 0.7232581213
1, HilbertSFC, UsedEfficiency, 0.5681516671, 0
1, HilbertSFC, Time, 0.0049214150, 0
1, SFC+Knapsack, PreviousEfficiency, 0.2251424299, 0
1, SFC+Knapsack, Efficiency, 0.9395690548
1, SFC+Knapsack, UsedEfficiency, 0.9395690548, 0
1, SFC+Knapsack, Time, 0.0006869710, 0
1, SFC+Painter, PreviousEfficiency, 0.5609851195, 0
1, SFC+Painter, Weight, 0.0000000000, 2055561783
1, SFC+Painter, Weight, 0.0000000000, 1985787123
1, SFC+Painter, Weight, 0.0000000000, 1892257138
1, SFC+Painter, Weight, 0.0000000000, 1822941452
1, SFC+Painter, Weight, 0.0000000000, 1812894451
1, SFC+Painter, Weight, 0.0000000000, 1750109863
1, SFC+Painter, Weight, 0.0000000000, 1678383040
1, SFC+Painter, Weight, 0.0000000000, 1577181082
1, SFC+Painter, Efficiency, 0.8863219323
1, SFC+Painter, UsedEfficiency, 0.8863219323, 0
1, SFC+Painter, Time, 0.0022551890, 0
1, Hilbert+Painter, PreviousEfficiency, 0.5617537042, 0
1, Hilbert+Painter, Efficiency, 0.8551789289
1, Hilbert+Painter, Efficiency, 0.8551789289, 0
1, Hilbert+Painter, UsedEfficiency, 0.8551789289, 0
1, Hilbert+Painter, Time, 0.0019468520, 0
1, Painter+Knapsack, PreviousEfficiency, 0.4073842215, 0
1, SFC+Painter, Weight, 0.0000000000, -992879606
1, SFC+Painter, Weight, 0.0000000000, -1611873646
1, SFC+Painter, Efficiency, 0.9592609214
1, Painter+Knapsack, Weight, 2051121965.0000000000, 0
1, Painter+Knapsack, Weight, 1961712787.0000000000, 1
1, Painter+Knapsack, Weight, 1812291107.0000000000, 2
1, Painter+Knapsack, Weight, 1771929127.0000000000, 3
1, Painter+Knapsack, Weight, 1773809007.0000000000, 4
1, Painter+Knapsack, Weight, 1757710828.0000000000, 5
1, Painter+Knapsack, Weight, 1728867473.0000000000, 6
1, Painter+Knapsack, Weight, 1717673638.0000000000, 7
1, Painter+Knapsack, Efficiency, 0.8882404472
1, Painter+Knapsack, UsedEfficiency, 0.8882404472, 0
1, Painter+Knapsack, Time, 0.0031693810, 0
2, Original, PreviousEfficiency, 0.3683033902, 0
2, Original, Efficiency, 0.8956618274, 0
2, Original, UsedEfficiency, 0.8956618274, 0
2, Knapsack, PreviousEfficiency, 0.8956618274, 0
2, Knapsack, Weight, 0.0000000000, 0
2, Knapsack, Weight, 0.0000000000, 1
2, Knapsack, Weight, 0.0000000000, 2
2, Knapsack, Weight, 0.0000000000, 3
2, Knapsack, Weight, 0.0000000000, 4
2, Knapsack, Weight, 0.0000000000, 5
2, Knapsack, Weight, 0.0000000000, 6
2, Knapsack, Weight, 0.0000000000, 7
2, Knapsack, Efficiency, 0.9822171655
2, Knapsack, UsedEfficiency, 0.8956618274, 0
2, Knapsack, Time, 0.0018810550, 0
2, Karmarkar-Karp, PreviousEfficiency, 0.9205720411, 0
2, Karmarkar-Karp, Weight, 0.0000000000, 1795000252
2, Karmarkar-Karp, Weight, 0.0000000000, 1810344675
2, Karmarkar-Karp, Weight, 0.0000000000, 1813340187
2, Karmarkar-Karp, Weight, 0.0000000000, 1820494967
2, Karmarkar-Karp, Weight, 0.0000000000, 1827695870
2, Karmarkar-Karp, Weight, 0.0000000000, 1834590213
2, Karmarkar-Karp, Weight, 0.0000000000, 1854871699
2, Karmarkar-Karp, Weight, 0.0000000000, 1858656328
2, Karmarkar-Karp, Efficiency, 0.9829005214
2, Karmarkar-Karp, UsedEfficiency, 0.9205720411, 0
2, Karmarkar-Karp, Time, 0.0021552350, 0
2, SFC, PreviousEfficiency, 0.6305326332, 0
2, SFC, Efficiency, 0.7296691673
2, SFC, UsedEfficiency, 0.6305326332, 0
2, SFC, Time, 0.0013967970, 0
2, HilbertSFC, PreviousEfficiency, 0.5309692920, 0
2, HilbertSFC, Weight, 1436102756.0000000000, 0
2, HilbertSFC, Weight, 2052179545.0000000000, 1
2, HilbertSFC, Weight, 1711122125.0000000000, 2
2, HilbertSFC, Weight, 1893320766.0000000000, 3
2, HilbertSFC, Weight, 1414590004.0000000000, 4
2, HilbertSFC, Weight, 1913273429.0000000000, 5
2, HilbertSFC, Weight, 2286100123.0000000000, 6
2, HilbertSFC, Weight, 1908305443.0000000000, 7
2, HilbertSFC, Efficiency, 0.7991225999
2, HilbertSFC, UsedEfficiency, 0.7991225999, 0
2, HilbertSFC, Time, 0.0065875830, 0
2, SFC+Knapsack, PreviousEfficiency, 0.9259484552, 0
2, SFC+Knapsack, Efficiency, 0.9628552645
2, SFC+Knapsack, UsedEfficiency, 0.9259484552, 0
2, SFC+Knapsack, Time, 0.0008224130, 0
2, SFC+Painter, PreviousEfficiency, 0.9344967774, 0
2, SFC+Painter, Weight, 0.0000000000, 1954928383
2, SFC+Painter, Weight, 0.0000000000, 1881374219
2, SFC+Painter, Weight, 0.0000000000, 1877647460
2, SFC+Painter, Weight, 0.0000000000, 1855695916
2, SFC+Painter, Weight, 0.0000000000, 1820083570
2, SFC+Painter, Weight, 0.0000000000, 1760190590
2, SFC+Painter, Weight, 0.0000000000, 1755679523
2, SFC+Painter, Weight, 0.0000000000, 1709394530
2, SFC+Painter, Efficiency, 0.9344967774
2, SFC+Painter, UsedEfficiency, 0.9344967774, 0
2, SFC+Painter, Time, 0.0025784060, 0
2, Hilbert+Painter, PreviousEfficiency, 0.7991225999, 0
2, Hilbert+Painter, Efficiency, 0.8284689726
2, Hilbert+Painter, Efficiency, 0.8284689726, 0
2, Hilbert+Painter, UsedEfficiency, 0.7991225999, 0
2, Hilbert+Painter, Time, 0.0016936810, 0
2, Painter+Knapsack, PreviousEfficiency, 0.8001243950, 0
2, SFC+Painter, Weight, 0.0000000000, -1255149820
2, SFC+Painter, Weight, 0.0000000000, -1309725173
2, SFC+Painter, Efficiency, 0.9962796895
2, Painter+Knapsack, Weight, 1897350870.0000000000, 0
2, Painter+Knapsack, Weight, 1879156383.0000000000, 1
2, Painter+Knapsack, Weight, 1760190590.0000000000, 2
2, Painter+Knapsack, Weight, 1743511576.0000000000, 3
2, Painter+Knapsack, Weight, 1858422777.0000000000, 4
2, Painter+Knapsack, Weight, 1834205206.0000000000, 5
2, Painter+Knapsack, Weight, 1825393988.0000000000, 6
2, Painter+Knapsack, Weight, 1816762801.0000000000, 7
